date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus
2020-01-02,000300.SH,4121.35,4172.66,4121.35,4152.24,182116772.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2209491007543816,0.0,-0.030840834313894394,1.0,,,0.0,0.0
2020-01-03,000300.SH,4161.22,4164.3,4131.86,4144.97,142826244.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1325583299664281,-0.0017508621852300177,-0.02792788066383367,1.0,,,0.0,0.0
2020-01-06,000300.SH,4120.52,4170.64,4102.38,4129.3,175309953.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1879543020126164,-0.005524728821070024,-0.02792788066383367,1.0,,,0.0,0.0
2020-01-07,000300.SH,4137.4,4161.25,4135.1,4160.23,139489031.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0964850284937258,0.0,-0.02792788066383367,1.0,,,0.0,0.0
2020-01-08,000300.SH,4139.63,4149.81,4101.98,4112.32,167585850.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1407096018400809,-0.011516190210637323,-0.02792788066383367,1.0,,,0.0,0.0
2020-01-09,000300.SH,4145.53,4165.66,4143.59,4164.37,136886324.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1892574190710503,0.0,-0.02792788066383367,1.0,,,0.0,0.0
2020-01-10,000300.SH,4177.58,4180.98,4148.48,4163.19,113031719.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1844890821037148,-0.00028335618592978395,-0.01848186451580991,1.0,,,0.0,0.0
2020-01-13,000300.SH,4166.93,4203.99,4148.6,4203.99,119691982.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.157686460284236,0.0,-0.01848186451580991,1.0,,,0.0,0.0
2020-01-14,000300.SH,4215.16,4223.51,4188.08,4189.89,129320783.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1618507289894824,-0.0033539565983742303,-0.01848186451580991,1.0,,,0.0,0.0
2020-01-15,000300.SH,4186.88,4193.87,4150.88,4166.73,104633136.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1908018588169291,-0.008863008713151155,-0.01848186451580991,1.0,,,0.0,0.0
2020-01-16,000300.SH,4174.82,4175.29,4142.18,4149.04,100267642.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1842344230231918,-0.013070915963168228,-0.01848186451580991,1.0,,,0.0,0.0
2020-01-17,000300.SH,4162.19,4177.03,4141.65,4154.85,98725682.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.159001899090802,-0.01168889554922814,-0.01848186451580991,1.0,,,0.0,0.0
2020-01-20,000300.SH,4170.74,4185.96,4149.49,4185.83,122409147.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0796411921936826,-0.004319705803296325,-0.01848186451580991,1.0,,,0.0,0.0
2020-01-21,000300.SH,4165.02,4165.02,4113.33,4114.31,130527507.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1520155154072038,-0.021332115442710187,-0.021332115442710187,1.0,,,0.0,0.0
2020-01-22,000300.SH,4093.8,4141.18,4046.49,4131.93,126758763.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1800047359205763,-0.01714085904105378,-0.021332115442710187,1.0,,,0.0,0.0
2020-01-23,000300.SH,4093.32,4103.52,3972.39,4003.9,160357603.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.386989989368067,-0.04759526069281794,-0.04759526069281794,1.0,,,0.0,0.0
2020-02-03,000300.SH,3639.91,3732.16,3639.91,3688.36,157559647.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.8520742920468525,-0.12265252771771573,-0.12265252771771573,1.0,,,0.0,0.0
2020-02-04,000300.SH,3652.0,3786.86,3652.0,3785.64,213933328.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.9713628405347678,-0.09951260588155542,-0.12265252771771573,1.0,,,0.0,0.0
