date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2020-01-02,399006.SZ,1811.22,1839.41,1797.54,1832.74,104308809.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.118773297069719,0.0,-0.036078640334809786,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0
2020-01-03,399006.SZ,1836.86,1842.56,1821.67,1836.01,102278947.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0703781076631491,0.0,-0.036078640334809786,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0017842138001025,0.0,0.0017842138001025187,-0.0017842138001025187,False,1.0,0.0
2020-01-06,399006.SZ,1825.55,1876.46,1824.35,1859.92,123882597.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1297151708067288,0.0,-0.036078640334809786,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0148302541549812,0.0,0.013022804886683614,-0.013022804886683614,False,1.0,0.0
2020-01-07,399006.SZ,1866.26,1893.21,1866.26,1893.21,117716464.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1396814750429483,0.0,-0.036078640334809786,1.0,,,0.0,0.6042107669068338,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0329943145236096,0.0,0.017898619295453555,-0.017898619295453555,False,1.0,0.0
2020-01-08,399006.SZ,1881.01,1892.58,1858.28,1862.7,124252640.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1810607998171607,-0.016115486396120815,-0.036078640334809786,1.0,,,0.0,0.6042107669068338,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.016347108700634,0.0,-0.016115486396120815,0.016115486396120815,False,1.0,0.0
2020-01-09,399006.SZ,1884.42,1913.78,1884.42,1913.14,111039941.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2656428295885864,0.0,-0.036078640334809786,1.0,,,0.0,0.6042107669068338,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0438687429749993,0.0,0.027078971385622985,-0.027078971385622985,False,1.0,0.0
2020-01-10,399006.SZ,1917.61,1917.83,1894.67,1904.19,101909878.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2448205989125263,-0.004678173055813972,-0.036078640334809786,1.0,,,0.0,0.6042107669068338,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0389853443478072,0.0,-0.004678173055813972,0.004678173055813972,False,1.0,0.0
2020-01-13,399006.SZ,1905.4,1935.07,1893.57,1935.07,97008284.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2386672155734204,0.0,-0.036078640334809786,1.0,,,0.0,0.6042107669068338,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0558344336894485,0.0,0.016216869114951793,-0.016216869114951793,False,1.0,0.0
2020-01-14,399006.SZ,1941.12,1945.77,1922.13,1922.56,104559052.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2022350384717047,-0.006464882407354766,-0.036078640334809786,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0490085882340103,0.0,-0.006464882407354766,0.006464882407354766,False,1.0,0.0
2020-01-15,399006.SZ,1920.66,1928.69,1902.61,1924.24,96262132.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2023047016669304,-0.005596696760323927,-0.036078640334809786,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0499252485349804,0.0,0.0008738348868175816,-0.0008738348868175816,False,1.0,0.0
