date,symbol,trade_type,price,target_position,executed_position,units,cash_after_trade,portfolio_value_after_trade
2020-03-25,399001.SZ,buy,10176.555734999998,0.5,0.5016551215493247,49.1325368838065,499850.0,999600.1249375313
2020-05-18,399001.SZ,add,10974.56454,1.0,1.0,45.53256652249895,0.0,1038389.0924720371
2020-07-17,399001.SZ,reduce,12996.338580000001,0.5,0.5020959659655198,47.356229818061756,615272.959308846,1230422.6731570049
2020-11-03,399001.SZ,add,13483.31829,1.0,1.0,45.61847607166532,0.0,1252342.8618797369
2021-03-15,399001.SZ,reduce,13786.62324,0.5,0.49494417261449564,46.48691828909906,640705.358752062,1281282.3776739566
2021-05-18,399001.SZ,add,14469.641205,1.0,1.0,44.26600464490404,0.0,1311833.6672980224
2021-08-12,399001.SZ,reduce,14965.01375,0.5,0.4987694783687062,45.37590596083742,678847.3413056522,1357558.7025522918
2021-11-11,399001.SZ,add,14505.22899,1.0,1.0,46.78614509630005,0.0,1335505.7140082556
2022-01-12,399001.SZ,reduce,14309.371735,0.5,0.501771043126153,46.08137826472067,659197.752979542,1318263.4619133952
2022-12-05,399001.SZ,add,11297.98617,1.0,1.0,58.32898386028498,0.0,1178516.9420476526
2024-11-08,399001.SZ,reduce,11368.512900000002,0.5,0.4952352222727698,52.208244495618274,593352.0420044799,1186585.2295319992
2025-02-21,399001.SZ,add,10827.220904999998,1.0,1.0,54.785442634094544,1.1641532182693481e-10,1157300.3656148324
2025-04-10,399001.SZ,reduce,9753.10101,0.5,0.499864331795396,53.49748818670195,521609.8761443661,1043115.268500664
