date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2025-01-17,000001.SH,3226.76,3256.51,3219.77,3241.82,383599260.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0429295838081927,-0.06346381626462516,-0.08688140979344205,1.0,,,0.0,0.5933212980732571,0.9999999999999998,1.1641532182693481e-10,357.15637910888023,1157836.6929227503,1157836.6929227505,1.1578366929227506,1.0507649423051992,0.0017892293952774807,0.0017892293952774807,0.0,False,1.2680273621383389,-0.08689928349004095
2025-01-20,000001.SH,3256.15,3268.26,3238.12,3244.38,403337948.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0700763128966986,-0.06272425249169433,-0.08688140979344205,1.0,,,0.0,0.7164504711630441,1.0,1.1641532182693481e-10,357.15637910888023,1158751.0132532688,1158751.0132532688,1.1587510132532688,1.0515947102294827,0.0007896798711830577,0.0007896798711835018,-4.440892098500626e-16,False,1.2680273621383389,-0.08617822623385019
2025-01-21,000001.SH,3256.83,3258.61,3229.07,3242.62,384583718.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0307591351851475,-0.06323270258558433,-0.08688140979344205,1.0,,,0.0,0.7164504711630441,0.9999999999999998,1.1641532182693481e-10,357.15637910888023,1158122.4180260373,1158122.4180260375,1.1581224180260374,1.0510242447815377,-0.0005424765286430322,-0.0005424765286434763,4.440892098500626e-16,False,1.2680273621383389,-0.08667395309748138
2025-01-22,000001.SH,3235.49,3235.5,3203.38,3213.62,364817518.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9343272855724687,-0.07161057345081612,-0.08688140979344205,1.0,,,0.0,0.7164504711630441,1.0,1.1641532182693481e-10,357.15637910888023,1147764.8830318796,1147764.8830318796,1.1477648830318796,1.0416245300142617,-0.008943385287206396,-0.008943385287206063,-3.3306690738754696e-16,False,1.2680273621383389,-0.09484217982777166
2025-01-23,000001.SH,3237.6,3273.52,3229.57,3230.16,458246803.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9312250163243039,-0.06683229813664604,-0.08688140979344205,1.0,,,0.0,0.7164504711630441,0.9999999999999998,1.1641532182693481e-10,357.15637910888023,1153672.2495423404,1153672.2495423406,1.1536722495423406,1.0469856087125633,0.005146843746304919,0.005146843746304697,2.220446049250313e-16,False,1.2680273621383389,-0.09018347396159931
2025-01-24,000001.SH,3222.88,3260.01,3221.71,3252.63,398653033.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9453973444504312,-0.06034089267658527,-0.08688140979344205,1.0,,,0.0,0.7164504711630441,0.9999999999999998,1.1641532182693481e-10,357.15637910888023,1161697.553380917,1161697.5533809173,1.1616975533809173,1.054268767016725,0.006956311761646683,0.006956311761646461,2.220446049250313e-16,False,1.2680273621383389,-0.08385450656057791
2025-01-27,000001.SH,3256.61,3274.39,3250.6,3250.6,387467642.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9281363723274879,-0.060927343637151576,-0.08688140979344205,1.0,,,0.0,0.6551847135517455,0.9999999999999998,1.1641532182693481e-10,357.15637910888023,1160972.525931326,1160972.5259313262,1.1609725259313262,1.0536107869830158,-0.0006241103353287203,-0.0006241103353287203,0.0,False,1.2680273621383389,-0.08442628243169825
2025-02-05,000001.SH,3270.16,3271.02,3220.28,3229.49,406388181.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9046968242789806,-0.06702585584284271,-0.08688140979344205,1.0,,,0.0,0.6551847135517455,0.9999999999999998,1.1641532182693481e-10,357.15637910888023,1153432.9547683375,1153432.9547683378,1.1534329547683377,1.0467684428886295,-0.006494185688795895,-0.006494185688796006,1.1102230246251565e-16,False,1.2680273621383389,-0.09037218816536796
2025-02-06,000001.SH,3226.58,3271.43,3225.85,3270.66,460842730.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9455311530112789,-0.0551321681352015,-0.08688140979344205,1.0,,,0.0,0.6551847135517455,0.9999999999999998,1.1641532182693481e-10,357.15637910888023,1168137.08289625,1168137.0828962503,1.1681370828962503,1.0601127965772073,0.012748142895627312,0.012748142895627534,-2.220446049250313e-16,False,1.2680273621383389,-0.07877612283826319
2025-02-07,000001.SH,3269.23,3324.43,3262.51,3303.67,600558451.0,none,0.0,MA20/MA60 未触发,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9678114427504698,-0.04559583995377725,-0.08688140979344205,1.0,,,0.0,0.6551847135517455,1.0,1.1641532182693481e-10,357.15637910888023,1179926.8149706344,1179926.8149706344,1.1799268149706343,1.070812265007131,0.010092764151578004,0.010092764151578004,0.0,False,1.2680273621383389,-0.06947842751526756
