date,symbol,trade_type,price,target_position,executed_position,units,cash_after_trade,portfolio_value_after_trade
2020-03-26,000905.SH,buy,5183.060235,0.5,0.49925609348347577,96.46810519847259,499849.99999999994,999600.1249375313
2020-05-19,000905.SH,add,5517.787514999999,1.0,1.0,90.56167687040919,0.0,1031474.859003345
2020-05-27,000905.SH,reduce,5423.8467200000005,0.5,0.49730728811745173,93.56167187037607,507311.92784172803,1014522.2359205312
2020-12-02,000905.SH,add,6441.17898,1.0,1.0,78.73710410508663,5.820766091346741e-11,1108650.2814779554
2020-12-25,000905.SH,reduce,6187.894505,0.5,0.5034588845418655,86.14567999179208,532900.4617367436,1065694.1780657559
2021-01-11,000905.SH,add,6560.728724999999,1.0,1.0,81.20144299136224,0.0,1096805.495616623
2021-03-16,000905.SH,reduce,6172.981965,0.5,0.500724694020728,83.67232481398825,516352.7997207575,1032602.168699572
2021-04-28,000905.SH,add,6436.3165500000005,1.0,1.0,80.20083169132754,-5.820766091346741e-11,1053674.1306815862
2022-01-24,000905.SH,reduce,6939.44854,0.5,0.5012546712548699,81.93570994522352,568418.0661604188,1136722.2723740172
2022-11-21,000905.SH,add,6150.79386,1.0,1.0000000000000002,92.38605695734599,-1.1641532182693481e-10,1071177.69501952
2023-05-10,000905.SH,reduce,6164.046435,0.5,0.5002205613307644,87.16349734498465,537118.661117963,1074129.7318797568
2023-12-19,000905.SH,sell,5378.039635,0.0,0.0,87.0763338476396,1005278.1458286499,1005278.1458286499
2024-03-11,000905.SH,buy,5344.85109,1.0,1.0,188.02706303886944,0.0,1004474.4156249876
2024-11-15,000905.SH,reduce,6052.51223,0.5,0.49447998269350885,94.06056180033488,569131.9098470006,1138149.8167569963
2025-02-21,000905.SH,add,5972.634824999999,1.0,1.0,95.26134413894232,0.0,1129624.0071576547
2025-04-14,000905.SH,reduce,5630.96311,0.5,0.499655092515439,94.66125331539614,532874.1151577511,1065641.4901852603
2025-06-17,000905.SH,add,5775.1861499999995,1.0,1.0,92.24192727839447,0.0,1078314.816189025
2026-03-27,000905.SH,reduce,7535.4304,0.5,0.5064437553485949,93.45098516281902,703982.1364875037,1407823.2581596891
