date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2020-01-02,000016.SH,3073.93,3107.52,3073.93,3090.83,50036392.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1585211799695527,0.0,-0.03882591332837726,1.0,,,0.0,0.6097507409281656,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0
2020-01-03,000016.SH,3097.25,3097.41,3072.11,3078.28,37185493.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0538701688128074,-0.004060398016066835,-0.03517786301225667,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9959396019839332,0.0,-0.004060398016066835,0.004060398016066835,False,1.0,0.0
2020-01-06,000016.SH,3062.28,3090.84,3040.19,3056.84,47707827.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1161161042752483,-0.010997046100885477,-0.03517786301225667,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9890029538991145,0.0,-0.006964928466546283,0.006964928466546283,False,1.0,0.0
2020-01-07,000016.SH,3063.75,3080.27,3061.56,3074.02,34371788.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.024054445738968,-0.0054386685776959265,-0.03387851235863404,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9945613314223041,0.0,0.005620182934010121,-0.005620182934010121,False,1.0,0.0
2020-01-08,000016.SH,3058.36,3058.7,3030.1,3037.85,37653773.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0776179979168756,-0.017141026843922158,-0.03353311534944314,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9828589731560778,0.0,-0.011766351552690013,0.011766351552690013,False,1.0,0.0
2020-01-09,000016.SH,3060.77,3071.54,3055.99,3067.55,33150515.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1078531053109568,-0.007531957435381376,-0.03353311534944314,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9924680425646186,0.0,0.009776651250061885,-0.009776651250061885,False,1.0,0.0
2020-01-10,000016.SH,3079.08,3081.96,3058.16,3067.88,28542389.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1031596725829074,-0.007425189997508741,-0.018335646945045747,1.0,,,0.0,0.6696286271417833,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9925748100024913,0.0,0.0001075777085948193,-0.0001075777085948193,False,1.0,0.0
2020-01-13,000016.SH,3069.68,3090.13,3054.88,3090.13,29330835.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0736372076002405,-0.00022647638336625864,-0.018335646945045747,1.0,,,0.0,0.6696286271417833,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9997735236166337,0.0,0.00725256528938556,-0.00725256528938556,False,1.0,0.0
2020-01-14,000016.SH,3097.73,3108.18,3078.46,3080.6,35129017.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1017112285072534,-0.0033097905740528955,-0.018335646945045747,1.0,,,0.0,0.6696286271417833,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9966902094259471,0.0,-0.0030840126467172047,0.0030840126467172047,False,1.0,0.0
2020-01-15,000016.SH,3078.25,3086.97,3052.7,3058.01,28116086.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.132003931622437,-0.010618507002973177,-0.018335646945045747,1.0,,,0.0,0.6696286271417833,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9893814929970268,0.0,-0.007332987080438724,0.007332987080438724,False,1.0,0.0
2020-01-16,000016.SH,3067.95,3068.2,3039.07,3043.09,28312318.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1367257515524127,-0.015445689345580216,-0.018335646945045747,1.0,,,0.0,0.6696286271417833,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9845543106544198,0.0,-0.0048789899313606,0.0048789899313606,False,1.0,0.0
2020-01-17,000016.SH,3054.04,3067.56,3042.59,3053.17,23304514.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1076510958241108,-0.01218442942510578,-0.018335646945045747,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9878155705748942,0.0,0.0033124225704792565,-0.0033124225704792565,False,1.0,0.0
2020-01-20,000016.SH,3070.67,3072.29,3054.45,3065.99,27274849.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0200009642378134,-0.00803667623259774,-0.018335646945045747,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9919633237674023,0.0,0.004198914570757495,-0.004198914570757495,False,1.0,0.0
2020-01-21,000016.SH,3048.95,3050.82,3011.18,3012.11,32801291.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0951034368039458,-0.02546888699799077,-0.02546888699799077,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9745311130020092,0.0,-0.017573442835756015,0.017573442835756015,False,1.0,0.0
2020-01-22,000016.SH,2996.81,3023.9,2965.66,3017.88,33159760.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1241201558003249,-0.02360207452367158,-0.02546888699799077,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9763979254763284,0.0,0.0019156006918736868,-0.0019156006918736868,False,1.0,0.0
2020-01-23,000016.SH,2993.77,2993.77,2910.39,2932.49,42839352.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.3038776420615166,-0.05122895791745263,-0.05122895791745263,1.0,,,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9487710420825474,0.0,-0.028294696939573538,0.028294696939573538,False,1.0,0.0
2020-02-03,000016.SH,2676.01,2755.84,2676.01,2727.09,58609184.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7404252951909147,-0.11768359955092966,-0.11768359955092966,1.0,,,0.0,0.6083702752244724,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.8823164004490703,0.0,-0.0700428645962986,0.0700428645962986,False,1.0,0.0
2020-02-04,000016.SH,2724.13,2796.71,2724.13,2794.66,57016369.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.8097625245733384,-0.09582215780227321,-0.11768359955092966,1.0,,,0.0,0.6083702752244724,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9041778421977268,0.0,0.024777326747558615,-0.024777326747558615,False,1.0,0.0
2020-02-05,000016.SH,2803.74,2833.21,2782.42,2812.9,44182070.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7842318078846866,-0.08992083032712894,-0.11768359955092966,1.0,,,0.0,0.6083702752244724,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9100791696728711,0.0,0.006526733126748896,-0.006526733126748896,False,1.0,0.0
2020-02-06,000016.SH,2829.51,2866.39,2809.37,2854.89,42134251.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7933697397873378,-0.07633548270205737,-0.11768359955092966,1.0,,,0.0,0.6083702752244724,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9236645172979426,0.0,0.014927654733548845,-0.014927654733548845,False,1.0,0.0
2020-02-07,000016.SH,2836.8,2851.82,2819.67,2851.71,34443628.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7771400369052002,-0.0773643325579213,-0.11768359955092966,1.0,,,0.0,0.6083702752244724,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9226356674420787,0.0,-0.0011138782930339985,0.0011138782930339985,False,1.0,0.0
2020-02-10,000016.SH,2826.8,2854.83,2817.77,2850.06,33654934.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7424609019129569,-0.0778981697472847,-0.11768359955092966,1.0,,,0.0,0.6128703287029698,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9221018302527153,0.0,-0.0005786002082961428,0.0005786002082961428,False,1.0,0.0
2020-02-11,000016.SH,2858.92,2893.07,2854.07,2879.86,36028244.0,none,0.0,MA20 下穿 MA60 + ATR 卖出确认,buy,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.7291184038181684,-0.0682567465696916,-0.11768359955092966,1.0,,,0.0,0.6128703287029698,0.5017744727215281,499850.0,174.8038157547365,503410.51683943544,1003260.5168394354,1.0032605168394355,0.9317432534303084,0.003260516839435512,0.010455920226240867,-0.007195403386805355,True,1.0032605168394355,0.0
2020-02-12,000016.SH,2876.67,2895.93,2870.77,2895.59,31230750.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6736105840864042,-0.06316749869776073,-0.11768359955092966,1.0,,,0.0,0.6128703287029698,0.5031362410546657,499850.0,174.8038157547365,506160.1808612575,1006010.1808612575,1.0060101808612574,0.9368325013022393,0.002740727832571732,0.0054620710728994215,-0.0027213432403276894,False,1.0060101808612574,0.0
2020-02-13,000016.SH,2898.4,2906.72,2871.27,2875.48,37434764.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6471504803563126,-0.06967384165418344,-0.11768359955092966,1.0,,,0.0,0.6128703287029698,0.5013939603049289,499850.0,174.8038157547365,502644.8761264297,1002494.8761264298,1.0024948761264298,0.9303261583458166,-0.0034943033397716317,-0.006945044015209345,0.0034507406754377135,False,1.0060101808612574,-0.0034943033397714096
2020-02-14,000016.SH,2870.71,2900.2,2870.63,2895.06,35125996.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6177779489712107,-0.06333897367373809,-0.11768359955092966,1.0,,,0.0,0.6128703287029698,0.5030904793999357,499850.0,174.8038157547365,506067.5348389074,1005917.5348389074,1.0059175348389073,0.9366610263262619,0.003414140853968739,0.006809297925911562,-0.0033951570719428226,False,1.0060101808612574,-9.20925295911923e-05
2020-02-17,000016.SH,2901.69,2950.28,2898.59,2950.07,45296532.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6410335240216314,-0.045541165318053634,-0.11768359955092966,1.0,,,0.0,0.5885362794434651,0.5077956526577965,499850.0,174.8038157547365,515683.4927435755,1015533.4927435755,1.0155334927435755,0.9544588346819464,0.009559389882002556,0.019001333305700197,-0.00944194342369764,False,1.0155334927435755,0.0
2020-02-18,000016.SH,2940.65,2944.43,2914.96,2924.4,38098991.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5698732516069622,-0.05384637783378565,-0.11768359955092966,1.0,,,0.0,0.5885362794434651,0.5056111569920889,499850.0,174.8038157547365,511196.27879315143,1011046.2787931515,1.0110462787931516,0.9461536221662143,-0.004418578001106899,-0.008701488439257443,0.0042829104381505445,False,1.0155334927435755,-0.004418578001106788
2020-02-19,000016.SH,2917.13,2942.35,2914.59,2923.76,40270252.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4854204015968022,-0.054053441955720594,-0.11768359955092966,1.0,,,0.0,0.5885362794434651,0.5055564457509387,499850.0,174.8038157547365,511084.4043510684,1010934.4043510684,1.0109344043510684,0.9459465580442794,-0.00011065214761152298,-0.00021884831076457445,0.00010819616315305147,False,1.0155334927435755,-0.004528741223573163
2020-02-20,000016.SH,2931.37,2981.27,2920.8,2978.18,50229847.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3818283428833051,-0.03644652083744504,-0.11768359955092966,1.0,,,0.0,0.5885362794434651,0.5101657525421543,499850.0,174.8038157547365,520597.2280044411,1020447.2280044411,1.0204472280044412,0.963553479162555,0.009409931655733006,0.01861301885243649,-0.009203087196703486,False,1.0204472280044412,0.0
2020-02-21,000016.SH,2965.6,2991.06,2959.51,2968.14,46920152.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9958709379872022,-0.039694839250298486,-0.11768359955092966,1.0,,,0.0,0.5885362794434651,0.5093218529293004,499850.0,174.8038157547365,518842.19769426354,1018692.1976942635,1.0186921976942636,0.9603051607497015,-0.0017198638616615636,-0.0033711864292956806,0.001651322567634117,False,1.0204472280044412,-0.0017198638616616746
2020-02-24,000016.SH,2949.98,2953.29,2922.16,2930.03,48637573.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9443588420960088,-0.05202486063613976,-0.11768359955092966,1.0,,,0.0,0.0,0.5060919237110255,499850.0,174.8038157547365,512180.4242758506,1012030.4242758506,1.0120304242758507,0.9479751393638602,-0.0065395351348438435,-0.0128396908501619,0.0063001557153180565,False,1.0204472280044412,-0.00824815188635497
2020-02-25,000016.SH,2891.98,2912.16,2869.64,2909.32,53157948.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9529797798156979,-0.05872532620687643,-0.11768359955092966,1.0,,,0.0,0.0,0.5043187965223904,499850.0,174.8038157547365,508560.23725157,1008410.23725157,1.00841023725157,0.9412746737931236,-0.0035771523636466407,-0.007068187015149996,0.0034910346515033552,False,1.0204472280044412,-0.01179579935398567
2020-02-26,000016.SH,2877.46,2930.02,2872.83,2901.67,62965029.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9465662579218982,-0.06120038953937934,-0.11768359955092966,1.0,,,0.0,0.0,0.5036606026318121,499850.0,174.8038157547365,507222.9880610462,1007072.9880610462,1.0070729880610463,0.9387996104606207,-0.001326096405138144,-0.0026294804284162643,0.0013033840232781202,False,1.0204472280044412,-0.013106253392004663
2020-02-27,000016.SH,2904.87,2927.2,2903.75,2912.04,42152250.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9244104336872073,-0.05784530368865315,-0.11768359955092966,1.0,,,0.0,0.0,0.5045524005332659,499850.0,174.8038157547365,509035.7036304228,1008885.7036304228,1.0088857036304228,0.9421546963113469,0.0017999843018992046,0.003573804050770679,-0.0017738197488714746,False,1.0204472280044412,-0.011329860140467773
2020-02-28,000016.SH,2860.28,2880.8,2818.43,2821.04,58479965.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0068031587242872,-0.08728723352626966,-0.11768359955092966,1.0,,,0.0,0.0,0.4966155142223571,499850.0,174.8038157547365,493128.5563967418,992978.5563967419,0.9929785563967419,0.9127127664737303,-0.015767045936363133,-0.031249570747654554,0.01548252481129142,False,1.0204472280044412,-0.026918267651543593
2020-03-02,000016.SH,2837.77,2922.95,2837.77,2907.89,54884776.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0892309820930517,-0.05918798510432477,-0.09582215780227321,1.0,,,0.0,0.6596525293188099,0.5041958942765837,499850.0,174.8038157547365,508310.2677950407,1008160.2677950407,1.0081602677950408,0.9408120148956752,0.0152890626897213,0.030786518447097455,-0.015497455757376155,False,1.0204472280044412,-0.012040760043445342
2020-03-03,000016.SH,2941.68,2948.55,2910.76,2921.44,53161398.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.101535410455229,-0.05480404939773453,-0.08992083032712894,1.0,,,0.0,0.6596525293188099,0.5053580159521082,499850.0,174.8038157547365,510678.85949851735,1010528.8594985174,1.0105288594985173,0.9451959506022655,0.0023494198086748685,0.004659736097307743,-0.0023103162886328743,False,1.0204472280044412,-0.009719629034928068
2020-03-04,000016.SH,2921.07,2949.57,2919.37,2947.57,42569549.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0833374241924847,-0.04635000954436175,-0.08728723352626966,1.0,,,0.0,0.6596525293188099,0.5075837535933476,499850.0,174.8038157547365,515246.48320418864,1015096.4832041886,1.0150964832041887,0.9536499904556383,0.004520032914189009,0.008944219289117816,-0.004424186374928807,False,1.0204472280044412,-0.005243529163890592
2020-03-05,000016.SH,2966.69,3023.12,2956.65,3018.07,60497966.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.142625882643151,-0.02354060236247213,-0.08728723352626966,1.0,,,0.0,0.6596525293188099,0.5134901734967622,499850.0,174.8038157547365,527570.1522148976,1027420.1522148976,1.0274201522148976,0.9764593976375279,0.012140391789959626,0.023918007036304534,-0.011777615246344908,False,1.0274201522148976,0.0
2020-03-06,000016.SH,2989.77,2999.49,2962.4,2964.83,41855288.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1322190741157074,-0.04054845589020528,-0.08728723352626966,1.0,,,0.0,0.6596525293188099,0.5090429973223095,499850.0,174.8038157547365,518263.5970641154,1018113.5970641153,1.0181135970641153,0.9592342509940696,-0.009058178517054816,-0.01764041258155058,0.008582234064495764,False,1.0274201522148976,-0.009058178517054927
2020-03-09,000016.SH,2908.63,2908.63,2864.49,2868.83,58864747.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.214995704347683,-0.07161511004391408,-0.08728723352626966,1.0,,,0.0,0.0,0.500815129272521,499850.0,174.8038157547365,501482.43075166066,1001332.4307516606,1.0013324307516607,0.9281746327038368,-0.016482607010500416,-0.032379596806562216,0.0158969897960618,False,1.0274201522148976,-0.02539148313082762
2020-03-10,000016.SH,2859.87,2935.09,2852.93,2924.22,48050530.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2781778014914391,-0.05369029781918566,-0.08728723352626966,1.0,,,0.0,0.0,0.5055957706793432,499850.0,174.8038157547365,511164.8141063155,1011014.8141063155,1.0110148141063156,0.9460953853819201,0.00966949941627937,0.019307522578891012,-0.009638023162611642,False,1.0274201522148976,-0.015967506645860108
2020-03-11,000016.SH,2927.83,2927.83,2888.36,2888.36,36442062.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.228424785463181,-0.0652949875895189,-0.08728723352626966,1.0,,,0.0,0.0,0.502511255341709,499850.0,174.8038157547365,504896.34927335073,1004746.3492733508,1.0047463492733508,0.9344933237997561,-0.006200171100861351,-0.012263099219620877,0.006062928118759525,False,1.0274201522148976,-0.02206867647346311
2020-03-12,000016.SH,2858.51,2866.14,2828.29,2841.98,37023632.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2512233465287947,-0.0803040648775295,-0.08728723352626966,1.0,,,0.0,0.0,0.49846431262465735,499850.0,174.8038157547365,496788.948298646,996638.948298646,0.996638948298646,0.9194876457132874,-0.008069102197353795,-0.016057555152404812,0.007988452955051017,False,1.0274201522148976,-0.02995970426499217
