date,symbol,trade_type,price,target_position,executed_position,units,cash_after_trade,portfolio_value_after_trade
2020-02-17,000001.SH,buy,2926.4524949999995,0.5,0.5049114511433394,170.8553276891652,499850.0,999600.1249375313
2020-03-16,000001.SH,sell,2895.8513500000004,0.0,0.0,170.8553276891652,994473.1998539584,994473.1998539584
2020-05-20,000001.SH,buy,2897.9182349999996,1.0,0.9999999999999999,343.0652167347115,1.1641532182693481e-10,993678.1083155898
2021-03-18,000001.SH,reduce,3447.91518,0.5,0.5009213166693025,171.61841757614383,591548.2294042268,1182977.965653588
2021-05-20,000001.SH,add,3502.63044,1.0,1.0,168.8362013318137,0.0,1191289.9507567664
2021-07-27,000001.SH,reduce,3465.716275,0.5,0.49365158547958077,170.22661355196664,589780.1578816788,1179442.176771285
2022-11-30,000001.SH,add,3142.9707,1.0,1.0,187.59426452769964,0.0,1123523.7565156517
2023-05-26,000001.SH,reduce,3197.28056,0.5,0.5010120914669737,178.91478312461948,571869.1457535677,1143623.740273809
2023-08-07,000001.SH,add,3278.41839,1.0,1.0,174.3821466492655,1.1641532182693481e-10,1157090.049161424
2023-08-23,000001.SH,reduce,3114.711865,0.5,0.49689325933218426,176.64733116096068,550040.4766261423,1099970.7745244321
2024-03-06,000001.SH,add,3043.2708749999997,1.0,0.9999999999999998,180.6856952790805,1.1641532182693481e-10,1086380.4161544368
2025-04-15,000001.SH,reduce,3259.059655,0.5,0.5004837430266802,178.66752331609814,582113.430463198,1164110.2576581645
2026-01-07,000001.SH,add,4085.88192,1.0,1.0,142.4267416931509,0.0,1310567.9536369524
2026-03-25,000001.SH,reduce,3890.3238650000003,0.5,0.5024786408017086,160.5380677768549,624357.7127903921,1248590.3603511453
