date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus
2020-01-02,000905.SH,5306.67,5374.91,5288.17,5366.14,145894405.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.193918601941882,0.0,-0.03187017284691673,1.0,,,0.0,0.5882191036101935
2020-01-03,000905.SH,5376.03,5395.26,5351.81,5380.64,128452021.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1594719254750014,0.0,-0.030026288980376625,1.0,,,0.0,0.5882191036101935
2020-01-06,000905.SH,5365.22,5481.55,5355.02,5434.85,159587414.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1939822633643082,0.0,-0.030026288980376625,1.0,,,0.0,0.5882191036101935
2020-01-07,000905.SH,5441.9,5499.84,5440.69,5499.84,144142722.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1570222729752535,0.0,-0.030026288980376625,1.0,,,0.0,0.5882191036101935
2020-01-08,000905.SH,5481.98,5500.16,5409.57,5423.8,155406847.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2053169081760737,-0.013825856752196386,-0.030026288980376625,1.0,,,0.0,0.0
2020-01-09,000905.SH,5465.86,5497.54,5457.35,5497.54,132431667.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2398899727965207,-0.0004181939838250326,-0.030026288980376625,1.0,,,0.0,0.0
2020-01-10,000905.SH,5511.67,5516.1,5455.25,5480.23,113819821.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2183954681481837,-0.0035655582707861955,-0.030026288980376625,1.0,,,0.0,0.0
2020-01-13,000905.SH,5478.32,5559.63,5447.73,5559.63,118076181.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.215859089746597,0.0,-0.030026288980376625,1.0,,,0.0,0.0
2020-01-14,000905.SH,5576.63,5583.72,5539.9,5542.33,129811383.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1698595359483936,-0.0031117178661169698,-0.030026288980376625,1.0,,,0.0,0.0
2020-01-15,000905.SH,5532.96,5545.1,5492.65,5530.03,112425020.0,none,0.0,MA20/MA60 未触发,hold,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1764234425727076,-0.005324095308500865,-0.030026288980376625,1.0,,,0.0,0.0
