symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
601728.SH,中国电信,1,2022-04-27,event_bottom,accumulation,观察等待,C,spring,True,True,BUY,-1.55,1.29,5.68,4.02,-5.57
601728.SH,中国电信,2,2022-10-31,bear_bottom,accumulation,空仓观望,C,sos_candidate,True,False,HOLD,85.24,91.09,1.53,13.57,71.67
601728.SH,中国电信,3,2024-02-05,crash_bottom,distribution,空仓观望,C,distribution,True,False,HOLD,-0.34,9.54,5.45,8.74,-9.08
601728.SH,中国电信,4,2024-09-13,bear_bottom,accumulation,空仓观望,C,sos_candidate,True,False,HOLD,19.16,23.53,1.68,21.64,-2.48
601728.SH,中国电信,5,2025-01-13,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,16.4,26.06,2.93,3.48,12.92
600273.SH,嘉化能源,1,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,7.82,16.43,1.9,4.02,3.8
600273.SH,嘉化能源,2,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,1.42,7.46,2.6,13.57,-12.15
600273.SH,嘉化能源,3,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-0.28,15.48,5.86,8.74,-9.02
600273.SH,嘉化能源,4,2024-09-13,bear_bottom,accumulation,空仓观望,C,accumulation,True,False,HOLD,10.48,31.16,1.56,21.64,-11.16
600273.SH,嘉化能源,5,2025-01-13,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,9.76,13.98,3.43,3.48,6.28
688350.SH,富淼科技,1,2022-04-27,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,27.56,31.39,1.98,4.02,23.54
688350.SH,富淼科技,2,2022-10-31,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,30.88,34.16,6.56,13.57,17.31
688350.SH,富淼科技,3,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,11.04,36.79,9.78,8.74,2.3
688350.SH,富淼科技,4,2024-09-13,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,52.46,65.86,3.35,21.64,30.82
688350.SH,富淼科技,5,2025-01-13,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,29.9,37.4,6.67,3.48,26.42
688143.SH,长盈通,3,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,19.45,64.51,17.29,8.74,10.71
688143.SH,长盈通,4,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,77.33,96.44,4.81,21.64,55.69
688143.SH,长盈通,5,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,63.49,86.73,0.0,3.48,60.01
603195.SH,公牛集团,1,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,11.73,18.88,1.1,4.02,7.71
603195.SH,公牛集团,2,2022-10-31,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,38.66,46.21,1.65,13.57,25.09
603195.SH,公牛集团,3,2024-02-05,crash_bottom,accumulation,观察等待,C,spring,True,True,BUY,-18.93,35.72,19.95,8.74,-27.67
603195.SH,公牛集团,4,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,12.96,45.92,1.5,21.64,-8.68
603195.SH,公牛集团,5,2025-01-13,structural_low,accumulation,观察等待,C,spring,True,True,BUY,8.06,17.22,2.63,3.48,4.58
601236.SH,红塔证券,1,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-6.28,24.45,15.09,4.02,-10.3
601236.SH,红塔证券,2,2022-10-31,bear_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,15.55,38.38,0.28,13.57,1.98
601236.SH,红塔证券,3,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-1.66,21.87,5.13,8.74,-10.4
601236.SH,红塔证券,4,2024-09-13,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,20.0,47.01,2.39,21.64,-1.64
601236.SH,红塔证券,5,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,5.06,12.15,11.52,3.48,1.58
300710.SZ,万隆光电,1,2022-04-27,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-2.72,32.27,26.48,4.02,-6.74
300710.SZ,万隆光电,2,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,3.39,44.48,4.6,13.57,-10.18
300710.SZ,万隆光电,3,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,7.18,57.07,31.23,8.74,-1.56
300710.SZ,万隆光电,4,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,17.49,58.48,3.94,21.64,-4.15
300710.SZ,万隆光电,5,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,25.06,32.02,15.09,3.48,21.58
600936.SH,北投科技,1,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,23.18,33.77,6.62,4.02,19.16
600936.SH,北投科技,2,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,39.93,56.44,0.0,13.57,26.36
600936.SH,北投科技,3,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,-18.5,27.17,23.62,8.74,-27.24
600936.SH,北投科技,4,2024-09-13,bear_bottom,markup,持有观察,C,markup,True,False,AVOID,52.47,73.09,2.24,21.64,30.83
600936.SH,北投科技,5,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,39.7,70.79,-0.37,3.48,36.22
301105.SZ,鸿铭股份,3,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,19.44,35.51,16.06,8.74,10.7
301105.SZ,鸿铭股份,4,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,25.88,47.93,3.7,21.64,4.24
301105.SZ,鸿铭股份,5,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,36.58,72.76,1.84,3.48,33.1
002661.SZ,克明食品,1,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,15.75,24.95,6.72,4.02,11.73
