final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,symbol,name,signal_model,window_range,step,r2_threshold,danger_r2_offset,watch_days,warning_days,danger_days,full_exit_days,trend_fast_ma,trend_slow_ma,trend_slope_window,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,buy_confirm_days,sell_confirm_days,cooldown_days,watch_count,warning_count,risk_count,negative_count,negative_watch_count,eligible,warnings
1.252030458363405,0.252030458363405,0.2685466096201219,0.03824893251753059,-0.0022747475217592683,0.16046847513716364,-0.23835792347896712,14,14,0.7081280783532918,8.384195054647327,0.0,hold,none,2020-01-02,2026-03-27,000001.SH,上证综指,ma_cross_atr_lppl_v1,"40,50,60,70,80,90,100,110,120",5,0.5,-0.02,20,8,5,3,20,60,5,14,40,1.1,1.05,1,1,5,70,20,5,0,0,False,
1.0751537300818887,0.07515373008188875,-0.08202327530145626,0.01217480332046339,0.026365385663425944,0.03153707871106699,-0.386047275716473,14,14,0.7914188966294851,7.475894059005895,0.0,hold,none,2020-01-02,2026-03-27,000016.SH,上证50,ma_cross_atr_lppl_v1,"30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180",5,0.5,-0.02,20,8,5,3,20,60,5,14,40,1.1,1.05,1,1,5,50,20,0,0,0,False,
1.1190718462506155,0.11907184625061551,0.08437132728358665,0.018964805182011046,0.005345997382064427,0.049437491581329096,-0.38361180099140435,14,14,0.8088370388623394,6.968276361649693,0.0,hold,none,2020-01-02,2026-03-27,000300.SH,沪深300,ma_cross_atr_lppl_v1,"40,50,60,70,80,90,100,110,120",5,0.5,-0.02,20,8,5,3,20,60,5,14,40,1.1,1.05,1,1,5,55,20,0,0,0,False,
1.4612693752592245,0.4612693752592245,0.3646134278506701,0.06539248656863617,0.012106414176190405,0.15076936800501683,-0.43372528142759237,13,13,0.6940134658950793,7.863519217072077,0.0,hold,none,2020-01-02,2026-03-27,000852.SH,中证1000,ma_cross_atr_lppl_v1,"40,50,60,70,80,90,100,110,120",5,0.5,-0.02,20,8,5,3,20,60,5,14,40,1.1,1.05,1,1,5,80,55,5,0,0,False,
1.426346326515878,0.426346326515878,0.44193218961860836,0.06109743906978715,-0.001927545050817825,0.18404643122350978,-0.3319675294088651,18,18,0.710106451740688,10.168429098873169,0.0,reduce,none,2020-01-02,2026-03-27,000905.SH,中证500,ma_cross_atr_lppl_v1,"40,50,60,70,80,90,100,110,120",5,0.5,-0.02,20,8,5,3,20,60,5,14,40,1.1,1.05,1,1,5,105,35,5,0,0,False,
1.2570189624324943,0.25701896243249434,0.2934112993734268,0.03893861418582478,-0.00496355136724369,0.08857375259121981,-0.4396179798944717,13,13,0.7268731142644572,7.896217978467993,0.0,hold,none,2020-01-02,2026-03-27,399001.SZ,深证成指,ma_cross_atr_lppl_v1,"30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180",5,0.5,-0.02,20,8,5,3,20,60,5,14,40,1.1,1.05,1,1,5,75,20,0,0,0,False,
1.4864399146599137,0.48643991465991365,0.7983347337865709,0.06843539455635916,-0.0345325029139405,0.13320472806872447,-0.5137610019446999,13,13,0.7164189873612562,9.78692702428797,0.2,hold,none,2020-01-02,2026-03-27,399006.SZ,创业板指,ma_cross_atr_lppl_v1,"30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180",5,0.5,-0.02,20,8,5,3,20,60,5,14,40,1.1,1.05,1,1,5,100,15,35,0,0,False,
1.5715207908150386,0.5715207908150386,0.7530737704918031,0.07841289333246126,-0.01986981841030544,0.22723612931206433,-0.3450722980093386,25,25,0.6630970521449742,15.328657887295499,0.1,reduce,none,2020-01-02,2026-03-27,932000.SH,中证2000,ma_cross_atr_lppl_v1,"40,50,60,70,80,90,100,110,120",5,0.5,-0.02,20,8,5,3,20,60,5,14,40,1.1,1.05,1,1,5,105,55,20,0,0,False,
