symbol,name,window_id,signal_date,market_env,label_desc,lppl_m,lppl_w,lppl_rmse,lppl_r2,lppl_dtc,lppl_valid,lppl_bottom,lppl_top,wy_phase,wy_direction,wy_confidence,wy_signal,wy_bc,wy_spring,wy_rr,combined_score,signal_label,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
600936.SH,北投科技,10,2022-10-31,bear_bottom,2022熊底,0.9,6.6854,0.058362,0.2912,94.72,False,False,False,markdown,空仓观望,C,markdown,True,False,1.2,15.0,neutral,39.93,56.44,0.0,13.57,26.36
002661.SZ,克明食品,1,2012-12-04,bear_bottom,2012熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.48,15.0,neutral,25.94,55.48,-0.08,14.92,11.02
002661.SZ,克明食品,2,2013-06-25,bear_bottom,2013钱荒底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.37,15.0,neutral,6.46,35.87,1.31,8.09,-1.63
002661.SZ,克明食品,3,2014-07-22,bull_start,2014牛市启动,0.9,7.0916,0.027701,0.7759,61.37,True,False,False,markup,持有观察,C,markup,True,False,0.69,15.0,neutral,24.11,31.21,2.45,35.34,-11.23
002661.SZ,克明食品,4,2015-08-26,crash_bottom,2015股灾底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,36.31,65.91,14.63,5.51,30.8
002661.SZ,克明食品,5,2016-01-27,crash_bottom,2016熔断底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.62,15.0,neutral,-66.63,36.96,66.83,4.97,-71.6
002661.SZ,克明食品,6,2018-10-19,bear_bottom,2018熊底,0.9,6.8241,0.060159,0.4272,98.29,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,13.05,16.12,3.71,21.72,-8.67
002661.SZ,克明食品,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,accumulation,观察等待,C,spring,True,True,4.37,43.0,buy,18.89,46.22,3.94,18.05,0.84
002661.SZ,克明食品,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,73.5,88.98,-0.64,35.28,38.22
002661.SZ,克明食品,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,10.05,15.0,neutral,12.55,22.24,3.8,6.19,6.36
002661.SZ,克明食品,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.15,15.0,neutral,5.18,16.71,-0.18,13.57,-8.39
