date,symbol,trade_type,price,target_position,executed_position,units,cash_after_trade,portfolio_value_after_trade
2023-01-03,000001.SH,buy,3089.053755,1.0,1.0,323.62664079732343,0.0,999200.4897281441
2023-11-23,000001.SH,reduce,3040.15916,0.5,0.5016030569583572,161.89426753242793,492036.68508808437,983974.8102004516
2023-11-24,000001.SH,reduce,3058.7998350000003,0.5,0.49841330487687385,0.47694339987325307,493495.1218186032,986989.9514974267
2023-11-27,000001.SH,add,3039.7090949999997,0.5,0.49946521262879723,0.5873074109072393,491709.34256700403,983418.3285313603
2023-11-28,000001.SH,add,3030.1142999999997,0.5,0.5008199106601582,0.2561666490805334,490932.8954761741,981865.6359034595
2023-11-29,000001.SH,reduce,3036.94077,0.5,0.4986162895302927,0.2631167785027193,491731.7258270585,983463.2916402351
2023-11-30,000001.SH,add,3022.61055,0.5,0.5007080312577719,0.46476865482145385,490326.489743294,980652.6988746885
2023-12-01,000001.SH,reduce,3025.836325,0.5,0.5003539676828583,0.1675731521695356,490833.3865595441,981666.6715824764
2023-12-04,000001.SH,reduce,3031.78335,0.5,0.4991421536535684,0.1590795909197682,491315.53672616294,982630.9768727209
2023-12-05,000001.SH,add,3018.518505,0.5,0.4962673821748857,0.43707723773318935,489995.81519823195,979991.3668609846
2023-12-06,000001.SH,add,2968.433475,0.5,0.500166364570286,1.3695030186074495,485929.3170101027,971857.8219802962
2023-12-07,000001.SH,add,2967.132825,1.0,1.0,163.7215489116238,-5.820766091346741e-11,971256.4018716416
2024-11-14,000001.SH,reduce,3427.7952450000003,0.5,0.4963027291360919,163.83293257939167,561417.2715458632,1122722.0854756024
2024-11-15,000001.SH,add,3371.4949049999996,0.5,0.497083373671094,1.4657448911432973,556474.037587914,1112947.088060362
2024-11-18,000001.SH,add,3346.362345,0.5,0.49843725221271884,0.6199529492762313,554398.8280066228,1108797.2416141923
2024-11-19,000001.SH,add,3326.5424399999997,0.5,0.5015835983543379,0.4936081526853525,552756.3269354444,1105512.325879492
2024-11-20,000001.SH,reduce,3336.01116,0.5,0.502259931545332,0.3188915592228416,553819.8335881014,1107639.4541449533
2024-11-21,000001.SH,add,3364.62147,1.0,1.0,164.55156765877183,0.0,1111388.0490249204
