run_id,symbol,name,mode,window_count,window_min,window_max,step,positive_consensus_threshold,negative_consensus_threshold,sell_vote_threshold,buy_vote_threshold,sell_confirm_days,buy_confirm_days,vol_breakout_mult,drawdown_confirm_threshold,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,eligible,objective_score,risk_band,suggest_position
5,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,3,3,1,2,1.02,0.05,1.1959475572908864,0.19594755729088642,0.7983347337865709,0.03033338526389251,-0.07263451220640715,0.05317363552229798,-0.5704591188084633,1,1,0.7952286282306164,0.9997000899730082,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
6,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,3,3,1,2,1.05,0.05,1.1959475572908864,0.19594755729088642,0.7983347337865709,0.03033338526389251,-0.07263451220640715,0.05317363552229798,-0.5704591188084633,1,1,0.7952286282306164,0.9997000899730082,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
7,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,3,3,2,2,1.02,0.05,1.1959475572908864,0.19594755729088642,0.7983347337865709,0.03033338526389251,-0.07263451220640715,0.05317363552229798,-0.5704591188084633,1,1,0.7952286282306164,0.9997000899730082,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
8,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,3,3,2,2,1.05,0.05,1.1959475572908864,0.19594755729088642,0.7983347337865709,0.03033338526389251,-0.07263451220640715,0.05317363552229798,-0.5704591188084633,1,1,0.7952286282306164,0.9997000899730082,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
3,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,2,3,2,2,1.02,0.05,1.138292103302138,0.13829210330213804,0.7983347337865709,0.021866730735146778,-0.08110116673515289,0.038331810315909286,-0.5704591188084633,2,2,0.7157057654075547,2.1383337833831693,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
4,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,2,3,2,2,1.05,0.05,1.138292103302138,0.13829210330213804,0.7983347337865709,0.021866730735146778,-0.08110116673515289,0.038331810315909286,-0.5704591188084633,2,2,0.7157057654075547,2.1383337833831693,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
1,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,2,3,1,2,1.02,0.05,1.1217842391634703,0.12178423916347025,0.7983347337865709,0.01937683355055264,-0.08359106391974702,0.033967085303195206,-0.5704591188084633,2,2,0.7150430748840292,2.121820965399106,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
2,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,2,3,1,2,1.05,0.05,1.1217842391634703,0.12178423916347025,0.7983347337865709,0.01937683355055264,-0.08359106391974702,0.033967085303195206,-0.5704591188084633,2,2,0.7150430748840292,2.121820965399106,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
