run_id,symbol,name,mode,window_count,window_min,window_max,step,positive_consensus_threshold,negative_consensus_threshold,sell_vote_threshold,buy_vote_threshold,sell_confirm_days,buy_confirm_days,vol_breakout_mult,drawdown_confirm_threshold,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,eligible,objective_score,risk_band,suggest_position
1,932000.SH,中证2000,single_window,9,40,120,20,0.2,0.2,2,3,1,2,1.02,0.05,1.6794019415459487,0.6794019415459487,0.7530737704918031,0.09043649735253156,-0.00784621439023514,0.22052751090090097,-0.4100916796415992,9,9,0.7872763419483101,11.220196439171522,0.0,hold,none,2020-01-02,2026-03-27,True,0.83125,DANGER,0-20%
1,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,1,2,1.02,0.05,1.0965091813735672,0.09650918137356723,-0.08202327530145626,0.01550477528065386,0.029695357623616414,0.0551945023143513,-0.28091158775830494,5,5,0.5937707090788603,5.394337238739378,0.0,hold,none,2020-01-02,2026-03-27,True,0.7937500000000001,DANGER,0-20%
1,000852.SH,中证1000,single_window,9,40,120,120,0.2,0.2,2,3,1,2,1.02,0.05,1.0102406200591136,0.010240620059113636,0.3646134278506701,0.0017029142658961938,-0.051583158126549566,0.003645836370072919,-0.4670846667378368,3,3,0.6308813783962889,2.4227919232939406,0.0,hold,none,2020-01-02,2026-03-27,True,0.75,DANGER,0-20%
3,000300.SH,沪深300,single_window,9,40,120,120,0.3,0.2,2,3,2,2,1.02,0.05,1.2527541400939255,0.2527541400939255,0.08437132728358665,0.03834912634821297,0.02473031854826635,0.19771268987186683,-0.1939639098181618,3,3,0.3127899271040424,3.180113981744699,0.0,hold,none,2020-01-02,2026-03-27,True,0.725,Warning,20-40%
5,399006.SZ,创业板指,single_window,16,30,180,60,0.2,0.2,3,3,1,2,1.02,0.05,1.1959475572908864,0.19594755729088642,0.7983347337865709,0.03033338526389251,-0.07263451220640715,0.05317363552229798,-0.5704591188084633,1,1,0.7952286282306164,0.9997000899730082,0.0,hold,negative_bubble,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
1,399001.SZ,深证成指,single_window,16,30,180,120,0.25,0.2,2,3,1,2,1.02,0.05,1.2614192070070664,0.26141920700706645,0.2934112993734268,0.03954507657837869,-0.004357088974689782,0.07892782013134354,-0.5010283637958308,1,1,0.9469847581179589,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
1,000001.SH,上证综指,single_window,9,40,120,120,0.25,0.2,2,3,1,2,1.02,0.05,1.2138962168972511,0.21389621689725113,0.2685466096201219,0.03289970364366068,-0.007623976395629173,0.16121951742934984,-0.20406774668630367,1,1,0.5096090125911199,0.9997000899730083,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,Warning,20-40%
1,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,2,3,1,2,1.02,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
