run_id,symbol,name,mode,window_count,window_min,window_max,step,positive_consensus_threshold,negative_consensus_threshold,sell_vote_threshold,buy_vote_threshold,sell_confirm_days,buy_confirm_days,vol_breakout_mult,drawdown_confirm_threshold,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,eligible,objective_score,risk_band,suggest_position
1,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,2,3,1,2,1.02,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
2,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,2,3,1,2,1.05,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
3,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,2,3,2,2,1.02,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
4,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,2,3,2,2,1.05,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
5,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,3,3,1,2,1.02,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
6,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,3,3,1,2,1.05,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
7,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,3,3,2,2,1.02,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
8,000905.SH,中证500,single_window,9,40,120,120,0.2,0.2,3,3,2,2,1.05,0.05,1.2042134571890428,0.20421345718904282,0.44193218961860836,0.03151920957031229,-0.03150577455029269,0.10137537555766324,-0.31091583529950895,1,1,0.4731610337972167,0.9997000899730082,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
