run_id,symbol,name,mode,window_count,window_min,window_max,step,positive_consensus_threshold,negative_consensus_threshold,sell_vote_threshold,buy_vote_threshold,sell_confirm_days,buy_confirm_days,vol_breakout_mult,drawdown_confirm_threshold,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,eligible,objective_score,risk_band,suggest_position
1,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,1,2,1.02,0.05,1.0965091813735672,0.09650918137356723,-0.08202327530145626,0.01550477528065386,0.029695357623616414,0.0551945023143513,-0.28091158775830494,5,5,0.5937707090788603,5.394337238739378,0.0,hold,none,2020-01-02,2026-03-27,True,0.7937500000000001,DANGER,0-20%
2,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,1,2,1.05,0.05,1.0965091813735672,0.09650918137356723,-0.08202327530145626,0.01550477528065386,0.029695357623616414,0.0551945023143513,-0.28091158775830494,5,5,0.5937707090788603,5.394337238739378,0.0,hold,none,2020-01-02,2026-03-27,True,0.7937500000000001,DANGER,0-20%
3,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,2,2,1.02,0.05,1.058698036388018,0.05869803638801807,-0.08202327530145626,0.009571059923332736,0.02376164226629529,0.03407143151235056,-0.2809115877583048,5,5,0.5950960901259112,5.299470788469765,0.0,hold,none,2020-01-02,2026-03-27,True,0.7062499999999999,DANGER,0-20%
4,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,2,3,2,2,1.05,0.05,1.058698036388018,0.05869803638801807,-0.08202327530145626,0.009571059923332736,0.02376164226629529,0.03407143151235056,-0.2809115877583048,5,5,0.5950960901259112,5.299470788469765,0.0,hold,none,2020-01-02,2026-03-27,True,0.7062499999999999,DANGER,0-20%
5,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,3,3,1,2,1.02,0.05,0.8412386476020036,-0.15876135239799638,-0.08202327530145626,-0.02845782455396939,-0.014267242211006836,-0.06267155747943295,-0.4540787830796841,1,1,0.8727634194831014,0.9997000899730083,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
6,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,3,3,1,2,1.05,0.05,0.8412386476020036,-0.15876135239799638,-0.08202327530145626,-0.02845782455396939,-0.014267242211006836,-0.06267155747943295,-0.4540787830796841,1,1,0.8727634194831014,0.9997000899730083,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
7,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,3,3,2,2,1.02,0.05,0.8412386476020036,-0.15876135239799638,-0.08202327530145626,-0.02845782455396939,-0.014267242211006836,-0.06267155747943295,-0.4540787830796841,1,1,0.8727634194831014,0.9997000899730083,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
8,000016.SH,上证50,single_window,16,30,180,60,0.25,0.2,3,3,2,2,1.05,0.05,0.8412386476020036,-0.15876135239799638,-0.08202327530145626,-0.02845782455396939,-0.014267242211006836,-0.06267155747943295,-0.4540787830796841,1,1,0.8727634194831014,0.9997000899730083,0.0,hold,none,2020-01-02,2026-03-27,False,-1.0,DANGER,0-20%
