date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2025-06-04,000001.SH,3363.39,3379.64,3363.39,3376.2,386494643.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-05,000001.SH,3378.22,3387.76,3371.15,3384.1,406252093.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-06,000001.SH,3384.29,3391.45,3379.76,3385.36,380122886.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-09,000001.SH,3388.78,3402.05,3383.07,3399.77,427347947.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-10,000001.SH,3402.01,3406.45,3365.67,3384.82,481618568.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-11,000001.SH,3385.46,3413.51,3385.46,3402.32,424090313.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-12,000001.SH,3397.97,3408.2,3388.87,3402.66,409490610.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-13,000001.SH,3397.48,3401.55,3370.59,3377.0,510065221.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-16,000001.SH,3369.37,3389.76,3368.88,3388.73,405383278.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-17,000001.SH,3388.18,3393.31,3376.42,3387.4,390012447.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-18,000001.SH,3386.14,3391.71,3369.99,3388.81,378684891.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-19,000001.SH,3384.29,3386.92,3353.94,3362.11,415327655.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-20,000001.SH,3358.91,3370.8,3357.71,3359.9,350223662.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-23,000001.SH,3349.46,3389.45,3347.65,3381.58,384561397.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-24,000001.SH,3380.08,3423.78,3380.08,3420.57,460963800.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-25,000001.SH,3419.09,3459.01,3417.41,3455.97,509384064.0,none,0.0,无信号,hold,0.0,default_cli
