date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2025-07-29,000001.SH,3595.81,3611.35,3585.94,3609.71,610642058.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0
2025-07-30,000001.SH,3608.35,3636.17,3593.73,3615.72,637221916.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.001664953694341,0.0,0.0016649536943409426,-0.0016649536943409426,False,1.0,0.0
2025-07-31,000001.SH,3604.7,3606.37,3562.61,3573.21,654509349.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9898883843854492,0.0,-0.011756994457535419,0.011756994457535419,False,1.0,0.0
2025-08-01,000001.SH,3568.26,3581.75,3550.04,3559.95,509563080.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9862149590964371,0.0,-0.003710948978649542,0.003710948978649542,False,1.0,0.0
2025-08-04,000001.SH,3547.16,3583.31,3547.16,3583.31,458573618.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9926863930897496,0.0,0.00656188991418416,-0.00656188991418416,False,1.0,0.0
2025-08-05,000001.SH,3588.81,3617.6,3586.97,3617.6,499797780.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0021857711561317,0.0,0.009569364637723288,-0.009569364637723288,False,1.0,0.0
2025-08-06,000001.SH,3615.81,3634.31,3613.99,3633.99,512467273.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.006726302112912,0.0,0.004530628040689821,-0.004530628040689821,False,1.0,0.0
2025-08-07,000001.SH,3637.78,3645.12,3622.52,3639.67,535501202.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.008299835720875,0.0,0.0015630202614758115,-0.0015630202614758115,False,1.0,0.0
2025-08-08,000001.SH,3634.85,3645.37,3625.45,3635.13,526407572.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0070421169567638,0.0,-0.0012473658326166426,0.0012473658326166426,False,1.0,0.0
2025-08-11,000001.SH,3637.05,3656.85,3629.63,3647.55,551393348.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.010482836571359,0.0,0.0034166591016002723,-0.0034166591016002723,False,1.0,0.0
2025-08-12,000001.SH,3647.96,3669.04,3647.96,3665.92,536623739.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0155718880464082,0.0,0.00503625721374612,-0.00503625721374612,False,1.0,0.0
2025-08-13,000001.SH,3668.66,3688.63,3666.55,3683.46,613528884.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.020431004152688,0.0,0.0047846106843574265,-0.0047846106843574265,False,1.0,0.0
2025-08-14,000001.SH,3685.52,3704.77,3662.57,3666.44,647829587.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.015715943940095,0.0,-0.004620655579265165,0.004620655579265165,False,1.0,0.0
2025-08-15,000001.SH,3659.81,3702.26,3658.38,3696.77,678521703.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0241182809699394,0.0,0.00827232956219115,-0.00827232956219115,False,1.0,0.0
2025-08-18,000001.SH,3712.5,3745.94,3702.38,3728.03,776016669.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0327782564250314,0.0,0.008456030534764292,-0.008456030534764292,False,1.0,0.0
2025-08-19,000001.SH,3728.49,3746.67,3718.15,3727.29,696099750.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0325732538070924,0.0,-0.00019849625673618032,0.00019849625673618032,False,1.0,0.0
2025-08-20,000001.SH,3716.68,3767.43,3704.99,3766.21,679836426.0,none,0.0,无信号,hold,0.0,default_cli,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0433552833884163,0.0,0.010441902830206518,-0.010441902830206518,False,1.0,0.0
