symbol,name,family,step,r2_threshold,warning_days,danger_days,positive_consensus_threshold,negative_consensus_threshold,buy_vote_threshold,buy_confirm_days,sell_vote_threshold,sell_confirm_days,cooldown_days,vol_breakout_mult,high_volatility_position_cap,buy_reentry_drawdown_threshold,buy_trend_slow_buffer,post_sell_reentry_cooldown_days,min_hold_bars,final_nav,total_return,benchmark_return,annualized_return,annualized_excess_return,calmar_ratio,max_drawdown,trade_count,signal_count,average_position,turnover_rate,whipsaw_rate,latest_action,latest_signal,start_date,end_date,reject_reason,eligible,objective_score,risk_band,suggest_position,baseline_excess,baseline_drawdown,baseline_trade_count,delta_excess,delta_drawdown,delta_trade_count
399006.SZ,创业板指,wide,20,0.5,60,20,0.25,0.25,3,3,2,2,12,1.1,0.5,0.1,0.99,30,25,1.5969500775824463,0.5969500775824463,0.7983347337865709,0.08130758541391225,-0.02166031205638741,0.1606771449187344,-0.5060308076486868,7,7,0.7393344419596969,4.345712307132727,0.0,hold,negative_bubble,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.5135416666666667,DANGER,0-20%,-0.0678966298017713,-0.5754511750281952,10,0.04623631774538389,0.06942036737950841,-3
399006.SZ,创业板指,wide,20,0.5,60,20,0.25,0.25,3,3,2,2,12,1.1,0.5,0.12,0.99,30,25,1.5969500775824463,0.5969500775824463,0.7983347337865709,0.08130758541391225,-0.02166031205638741,0.1606771449187344,-0.5060308076486868,7,7,0.7393344419596969,4.345712307132727,0.0,hold,negative_bubble,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.5135416666666667,DANGER,0-20%,-0.0678966298017713,-0.5754511750281952,10,0.04623631774538389,0.06942036737950841,-3
000852.SH,中证1000,wide,20,0.5,60,20,0.25,0.25,3,3,2,2,12,1.1,0.33,0.1,0.99,30,25,1.3295712759302822,0.32957127593028224,0.3646134278506701,0.048720108208773594,-0.0045659641836721665,0.10430680276670057,-0.46708466673783666,5,5,0.8572212539594722,2.792796124523432,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.5093749999999999,DANGER,0-20%,-0.0378060101312811,-0.4340101053724092,8,0.03324004594760893,-0.03307456136542747,-3
000852.SH,中证1000,wide,20,0.5,60,20,0.25,0.25,3,3,2,2,12,1.1,0.5,0.1,0.99,30,25,1.3295712759302822,0.32957127593028224,0.3646134278506701,0.048720108208773594,-0.0045659641836721665,0.10430680276670057,-0.46708466673783666,5,5,0.8572212539594722,2.792796124523432,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.5093749999999999,DANGER,0-20%,-0.0378060101312811,-0.4340101053724092,8,0.03324004594760893,-0.03307456136542747,-3
932000.SH,中证2000,narrow,20,0.5,80,25,0.25,0.25,3,3,3,3,15,1.1,0.33,0.12,0.99,30,25,1.3669726715519914,0.3669726715519914,0.7530737704918031,0.053589956717030596,-0.04469275502573611,0.12358738365835167,-0.4336199629015218,9,9,0.8251090031984379,4.211132589557735,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.490625,DANGER,0-20%,-0.0368453379309818,-0.4336199629015218,8,-0.007847417094754311,0.0,1
932000.SH,中证2000,narrow,20,0.5,80,25,0.25,0.25,3,3,3,3,15,1.1,0.5,0.12,0.99,30,25,1.3848340926866305,0.3848340926866305,0.7530737704918031,0.05587654482059534,-0.04240616692217136,0.1288606374270764,-0.43361996290152194,8,8,0.8381660515316005,4.253094473298561,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.4791666666666667,DANGER,0-20%,-0.0368453379309818,-0.4336199629015218,8,-0.005560828991189565,-1.1102230246251565e-16,0
000905.SH,中证500,narrow,20,0.4,80,25,0.15000000000000002,0.15000000000000002,2,1,2,2,8,1.03,0.5,0.08,0.98,10,0,1.197594912569692,0.19759491256969208,0.44193218961860836,0.030570258061180633,-0.032454726059424344,0.07771557127203257,-0.39336078421367693,8,8,0.7761979560166923,3.8649603412420754,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.45833333333333337,DANGER,0-20%,-0.0225136146393245,-0.1587973966682497,2,-0.009941111420099843,-0.23456338754542722,6
000905.SH,中证500,narrow,40,0.4,80,25,0.15000000000000002,0.15000000000000002,2,1,2,2,8,1.03,0.5,0.08,0.98,10,0,1.1453815362164108,0.1453815362164108,0.44193218961860836,0.02292681302935673,-0.04009817109124825,0.05483832933316205,-0.41808007844419026,4,4,0.8537780039317193,1.839262057623738,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.4375,DANGER,0-20%,-0.0225136146393245,-0.1587973966682497,2,-0.017584556451923746,-0.25928268177594055,2
399001.SZ,深证成指,wide,20,0.4,80,25,0.2,0.15000000000000002,2,1,2,2,8,1.03,0.5,0.08,0.98,10,0,1.2127707801015277,0.21277078010152772,0.2934112993734268,0.032739719562514535,-0.011162445990553937,0.0753097293047488,-0.43473426162547724,7,7,0.8304404915913288,3.5056153736543076,0.0,hold,bubble_risk,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.4135416666666667,DANGER,0-20%,-0.0030278370104972,-0.5010283637958308,2,-0.008134608980056737,0.06629410217035359,5
399001.SZ,深证成指,wide,40,0.4,80,25,0.2,0.15000000000000002,2,1,2,2,8,1.03,0.5,0.08,0.98,10,0,1.0966344750174664,0.09663447501746636,0.2934112993734268,0.015524152406975356,-0.028378013146093117,0.030984577977508386,-0.5010283637958307,4,4,0.9105143066627878,1.8517885848498647,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.3229166666666667,DANGER,0-20%,-0.0030278370104972,-0.5010283637958308,2,-0.02535017613559592,1.1102230246251565e-16,2
399001.SZ,深证成指,macro,40,0.4,80,25,0.2,0.15000000000000002,2,1,2,2,8,1.03,0.5,0.08,0.98,10,0,0.9530047298818678,-0.046995270118132204,0.2934112993734268,-0.008006295650365036,-0.05190846120343351,-0.017623899199212124,-0.45428628250001324,5,5,0.7516172602609978,2.3145813744157646,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.2760416666666667,DANGER,0-20%,-0.0030278370104972,-0.5010283637958308,2,-0.04888062419293631,0.046742081295817584,3
399001.SZ,深证成指,macro,20,0.4,80,25,0.2,0.15000000000000002,2,1,2,2,8,1.03,0.5,0.08,0.98,10,0,1.0705796924528945,0.07057969245289453,0.2934112993734268,0.011454414691698833,-0.03244775086136964,0.025213277715178152,-0.4543008973721566,12,12,0.728968450865476,6.041962370269417,0.0,hold,none,2020-01-02,2026-03-27,"non_positive_excess,max_drawdown_cap",False,0.24895833333333334,DANGER,0-20%,-0.0030278370104972,-0.5010283637958308,2,-0.02941991385087244,0.0467274664236742,10
