symbol,strategy,action,entry_price,stop_loss,take_profit,confidence,phase,regime,macro_regime,stock_regime,current_price,upside_pct,net_upside_pct,risk_pct,est_cost_pct,name,analysis_date,ma5,ma20
600785.SH,ma_cross,buy,18.16,16.67,20.395,B,golden_cross,,,,18.16,12.31,12.06,8.2,0.25,新华百货,2026-05-13,18.23,17.658
600789.SH,ma_cross,buy,8.39,8.085,8.848,B,golden_cross,,,,8.39,5.45,5.2,3.64,0.25,鲁抗医药,2026-05-13,8.51,8.3
600795.SH,ma_cross,buy,5.05,4.857,5.34,B,golden_cross,,,,5.05,5.73,5.48,3.82,0.25,国电电力,2026-05-13,4.952,4.884
600800.SH,ma_cross,buy,4.84,4.321,5.619,B,golden_cross,,,,4.84,16.08,15.83,10.72,0.25,渤海化学,2026-05-13,4.838,4.757
600798.SH,ma_cross,buy,3.77,3.622,3.992,B,golden_cross,,,,3.77,5.89,5.64,3.93,0.25,宁波海运,2026-05-13,3.75,3.653
600797.SH,ma_cross,buy,9.26,8.656,10.166,B,golden_cross,,,,9.26,9.78,9.53,6.52,0.25,浙大网新,2026-05-13,9.216,9.136
600802.SH,ma_cross,buy,5.79,5.48,6.255,B,golden_cross,,,,5.79,8.03,7.78,5.35,0.25,福建水泥,2026-05-13,5.81,5.671
600816.SH,wyckoff,buy,3.28,2.468,3.29,C,markup,range,bull,range,3.28,0.3,0.05,24.76,0.25,建元信托,2026-05-13,,
600821.SH,ma_cross,buy,9.45,8.206,11.316,B,golden_cross,,,,9.45,19.75,19.5,13.16,0.25,金开新能,2026-05-13,8.98,8.814
600825.SH,ma_cross,buy,5.87,5.564,6.329,B,golden_cross,,,,5.87,7.82,7.57,5.21,0.25,新华传媒,2026-05-13,5.928,5.903
600829.SH,ma_cross,buy,9.76,9.232,10.552,B,golden_cross,,,,9.76,8.11,7.86,5.41,0.25,人民同泰,2026-05-13,9.854,9.818
600827.SH,ma_cross,buy,8.27,7.96,8.735,B,golden_cross,,,,8.27,5.62,5.37,3.75,0.25,百联股份,2026-05-13,8.376,8.309
600851.SH,ma_cross,buy,8.03,7.423,8.941,B,golden_cross,,,,8.03,11.34,11.09,7.56,0.25,海欣股份,2026-05-13,8.494,8.427
600855.SH,ma_cross,buy,20.95,19.0,23.875,B,golden_cross,,,,20.95,13.96,13.71,9.31,0.25,航天长峰,2026-05-13,20.348,19.571
600863.SH,ma_cross,buy,4.95,4.622,5.442,B,golden_cross,,,,4.95,9.94,9.69,6.63,0.25,华能蒙电,2026-05-13,4.862,4.733
600868.SH,ma_cross,buy,3.69,3.465,4.027,B,golden_cross,,,,3.69,9.15,8.9,6.1,0.25,梅雁吉祥,2026-05-13,3.62,3.492
600880.SH,wyckoff,buy,5.25,4.557,5.5,C,markup,range,bull,range,5.25,4.76,4.51,13.2,0.25,博瑞传播,2026-05-13,,
600881.SH,ma_cross,buy,1.6,1.465,1.802,B,golden_cross,,,,1.6,12.66,12.41,8.44,0.25,亚泰集团,2026-05-13,1.606,1.558
600892.SH,wyckoff,buy,4.02,3.403,4.11,C,markup,bull,bull,bull,4.02,2.24,1.99,15.35,0.25,*ST大晟,2026-05-13,,
600906.SH,ma_cross,buy,6.61,6.29,7.09,B,golden_cross,,,,6.61,7.26,7.01,4.84,0.25,财达证券,2026-05-13,6.534,6.391
600893.SH,ma_cross,buy,51.38,47.047,57.88,B,golden_cross,,,,51.38,12.65,12.4,8.43,0.25,航发动力,2026-05-13,49.802,49.123
600909.SH,ma_cross,buy,5.86,5.636,6.196,B,golden_cross,,,,5.86,5.73,5.48,3.82,0.25,华安证券,2026-05-13,5.768,5.687
600916.SH,ma_cross,buy,8.9,8.572,9.392,B,golden_cross,,,,8.9,5.53,5.28,3.69,0.25,中国黄金,2026-05-13,9.014,9.003
600895.SH,ma_cross,buy,37.15,35.003,40.37,B,golden_cross,,,,37.15,8.67,8.42,5.78,0.25,张江高科,2026-05-13,37.75,36.971
600933.SH,ma_cross,buy,17.92,16.871,19.494,B,golden_cross,,,,17.92,8.78,8.53,5.85,0.25,爱柯迪,2026-05-13,17.808,17.147
600959.SH,ma_cross,buy,3.97,3.729,4.332,B,golden_cross,,,,3.97,9.11,8.86,6.07,0.25,江苏有线,2026-05-13,3.996,3.994
600984.SH,ma_cross,buy,4.86,4.479,5.431,B,golden_cross,,,,4.86,11.76,11.51,7.84,0.25,建设机械,2026-05-13,4.71,4.295
600988.SH,ma_cross,buy,40.8,36.878,46.683,B,golden_cross,,,,40.8,14.42,14.17,9.61,0.25,赤峰黄金,2026-05-13,42.11,41.877
600992.SH,ma_cross,buy,12.48,11.75,13.575,B,golden_cross,,,,12.48,8.77,8.52,5.85,0.25,贵绳股份,2026-05-13,12.236,12.037
601022.SH,ma_cross,buy,8.81,8.523,9.241,B,golden_cross,,,,8.81,4.89,4.64,3.26,0.25,宁波远洋,2026-05-13,8.854,8.796
601069.SH,ma_cross,buy,33.26,30.579,37.281,B,golden_cross,,,,33.26,12.09,11.84,8.06,0.25,西部黄金,2026-05-13,34.304,33.412
601096.SH,ma_cross,buy,6.02,5.722,6.467,B,golden_cross,,,,6.02,7.43,7.18,4.95,0.25,宏盛华源,2026-05-13,5.802,5.617
601086.SH,ma_cross,buy,9.25,8.652,10.147,B,golden_cross,,,,9.25,9.7,9.45,6.46,0.25,国芳集团,2026-05-13,9.06,8.733
601111.SH,ma_cross,buy,7.14,6.789,7.666,B,golden_cross,,,,7.14,7.37,7.12,4.92,0.25,中国国航,2026-05-13,7.13,6.942
601116.SH,ma_cross,buy,13.85,12.973,15.165,B,golden_cross,,,,13.85,9.5,9.25,6.33,0.25,三江购物,2026-05-13,13.926,13.901
601133.SH,ma_cross,buy,25.94,23.214,30.029,B,golden_cross,,,,25.94,15.76,15.51,10.51,0.25,柏诚股份,2026-05-13,25.81,24.348
601162.SH,ma_cross,buy,3.8,3.618,4.073,B,golden_cross,,,,3.8,7.18,6.93,4.79,0.25,天风证券,2026-05-13,3.802,3.76
601199.SH,ma_cross,buy,6.34,5.977,6.885,B,golden_cross,,,,6.34,8.59,8.34,5.73,0.25,江南水务,2026-05-13,6.308,5.723
601212.SH,ma_cross,buy,7.77,7.145,8.707,B,golden_cross,,,,7.77,12.07,11.82,8.04,0.25,白银有色,2026-05-13,7.968,7.908
601222.SH,wyckoff,buy,6.37,5.851,6.88,C,accumulation,bull,bull,bull,6.37,8.01,7.76,8.15,0.25,林洋能源,2026-05-13,,
601333.SH,wyckoff,buy,3.17,2.885,3.27,C,markup,range,bull,range,3.17,3.15,2.9,8.99,0.25,广深铁路,2026-05-13,,
601279.SH,ma_cross,buy,3.92,3.718,4.223,B,golden_cross,,,,3.92,7.73,7.48,5.15,0.25,英利汽车,2026-05-13,3.956,3.936
601319.SH,ma_cross,buy,7.33,7.078,7.708,B,golden_cross,,,,7.33,5.16,4.91,3.44,0.25,中国人保,2026-05-13,7.344,7.312
601399.SH,ma_cross,buy,4.33,4.029,4.781,B,golden_cross,,,,4.33,10.43,10.18,6.95,0.25,国机重装,2026-05-13,4.322,4.279
601500.SH,wyckoff,buy,4.61,4.05,4.79,C,markup,range,bull,range,4.61,3.9,3.65,12.15,0.25,通用股份,2026-05-13,,
601519.SH,ma_cross,buy,11.12,10.377,12.234,B,golden_cross,,,,11.12,10.02,9.77,6.68,0.25,大智慧,2026-05-13,11.164,10.719
601515.SH,ma_cross,buy,4.92,4.551,5.474,B,golden_cross,,,,4.92,11.25,11.0,7.5,0.25,衢州东峰,2026-05-13,4.812,4.661
601555.SH,ma_cross,buy,8.53,8.146,9.106,B,golden_cross,,,,8.53,6.75,6.5,4.5,0.25,东吴证券,2026-05-13,8.42,8.306
601598.SH,ma_cross,buy,6.19,5.921,6.594,B,golden_cross,,,,6.19,6.52,6.27,4.35,0.25,中国外运,2026-05-13,6.088,6.082
601606.SH,ma_cross,buy,39.6,37.163,43.255,B,golden_cross,,,,39.6,9.23,8.98,6.15,0.25,长城军工,2026-05-13,39.398,39.136
601609.SH,ma_cross,buy,12.66,11.858,13.863,B,golden_cross,,,,12.66,9.5,9.25,6.33,0.25,金田股份,2026-05-13,11.386,10.727
601608.SH,ma_cross,buy,6.15,5.886,6.546,B,golden_cross,,,,6.15,6.44,6.19,4.29,0.25,中信重工,2026-05-13,6.154,6.151
601615.SH,ma_cross,buy,16.6,15.172,18.742,B,golden_cross,,,,16.6,12.9,12.65,8.6,0.25,明阳智能,2026-05-13,16.552,16.439
601628.SH,ma_cross,buy,36.48,34.806,38.991,B,golden_cross,,,,36.48,6.88,6.63,4.59,0.25,中国人寿,2026-05-13,37.348,37.206
601616.SH,ma_cross,buy,4.88,4.586,5.321,B,golden_cross,,,,4.88,9.04,8.79,6.02,0.25,广电电气,2026-05-13,4.754,4.752
601636.SH,wyckoff,buy,6.78,5.532,6.83,C,markup,bull,bull,bull,6.78,0.74,0.49,18.41,0.25,旗滨集团,2026-05-13,,
601696.SH,ma_cross,buy,12.68,12.191,13.413,B,golden_cross,,,,12.68,5.78,5.53,3.86,0.25,中银证券,2026-05-13,12.596,12.454
601669.SH,ma_cross,buy,6.09,5.822,6.492,B,golden_cross,,,,6.09,6.6,6.35,4.4,0.25,中国电建,2026-05-13,5.948,5.787
601699.SH,wyckoff,buy,15.05,12.746,16.37,C,markup,bull,bull,bull,15.05,8.77,8.52,15.31,0.25,潞安环能,2026-05-13,,
601689.SH,wyckoff,buy,67.09,55.023,74.48,C,markup,range,bull,range,67.09,11.02,10.77,17.99,0.25,拓普集团,2026-05-13,,
601689.SH,ma_cross,buy,67.09,62.594,73.834,B,golden_cross,,,,67.09,10.05,9.8,6.7,0.25,拓普集团,2026-05-13,66.492,61.161
601788.SH,ma_cross,buy,15.54,15.011,16.334,B,golden_cross,,,,15.54,5.11,4.86,3.4,0.25,光大证券,2026-05-13,15.49,15.284
601799.SH,wyckoff,buy,136.62,116.922,158.5,C,markup,bull,bull,bull,136.62,16.02,15.77,14.42,0.25,星宇股份,2026-05-13,,
601799.SH,ma_cross,buy,136.62,126.233,152.201,B,golden_cross,,,,136.62,11.4,11.15,7.6,0.25,星宇股份,2026-05-13,136.694,129.224
601798.SH,ma_cross,buy,9.06,8.518,9.873,B,golden_cross,,,,9.06,8.97,8.72,5.98,0.25,蓝科高新,2026-05-13,9.104,9.067
601868.SH,ma_cross,buy,3.53,3.294,3.884,B,golden_cross,,,,3.53,10.03,9.78,6.69,0.25,中国能建,2026-05-13,3.288,2.987
601869.SH,ma_cross,buy,406.96,356.914,482.029,B,golden_cross,,,,406.96,18.45,18.2,12.3,0.25,长飞光纤,2026-05-13,401.032,380.004
601877.SH,ma_cross,buy,34.6,32.731,37.404,B,golden_cross,,,,34.6,8.1,7.85,5.4,0.25,正泰电器,2026-05-13,33.368,32.953
601872.SH,ma_cross,buy,18.0,15.807,21.29,B,golden_cross,,,,18.0,18.28,18.03,12.18,0.25,招商轮船,2026-05-13,18.416,18.141
601881.SH,ma_cross,buy,12.94,12.482,13.627,B,golden_cross,,,,12.94,5.31,5.06,3.54,0.25,中国银河,2026-05-13,12.958,12.835
601880.SH,ma_cross,buy,1.65,1.6,1.725,B,golden_cross,,,,1.65,4.55,4.3,3.03,0.25,辽港股份,2026-05-13,1.654,1.633
601899.SH,ma_cross,buy,34.66,32.719,37.572,B,golden_cross,,,,34.66,8.4,8.15,5.6,0.25,紫金矿业,2026-05-13,34.554,34.453
601929.SH,ma_cross,buy,3.04,2.877,3.284,B,golden_cross,,,,3.04,8.04,7.79,5.36,0.25,吉视传媒,2026-05-13,3.034,2.974
601975.SH,ma_cross,buy,4.92,4.408,5.688,B,golden_cross,,,,4.92,15.61,15.36,10.41,0.25,招商南油,2026-05-13,4.848,4.569
603000.SH,ma_cross,buy,20.03,19.023,21.541,B,golden_cross,,,,20.03,7.54,7.29,5.03,0.25,人民网,2026-05-13,20.032,19.738
603001.SH,ma_cross,buy,9.22,8.446,10.381,B,golden_cross,,,,9.22,12.59,12.34,8.39,0.25,奥康国际,2026-05-13,9.348,9.028
603007.SH,ma_cross,buy,8.42,7.664,9.554,B,golden_cross,,,,8.42,13.47,13.22,8.98,0.25,*ST花王,2026-05-13,7.17,6.587
603011.SH,ma_cross,buy,22.02,20.484,24.324,B,golden_cross,,,,22.02,10.46,10.21,6.98,0.25,合锻智能,2026-05-13,21.878,21.48
603015.SH,ma_cross,buy,12.48,11.744,13.584,B,golden_cross,,,,12.48,8.85,8.6,5.9,0.25,弘讯科技,2026-05-13,12.444,12.193
603009.SH,ma_cross,buy,52.11,48.336,57.771,B,golden_cross,,,,52.11,10.86,10.61,7.24,0.25,北特科技,2026-05-13,51.468,49.207
603023.SH,ma_cross,buy,5.3,4.943,5.835,B,golden_cross,,,,5.3,10.1,9.85,6.74,0.25,威帝股份,2026-05-13,4.864,4.573
603020.SH,ma_cross,buy,11.48,10.626,12.761,B,golden_cross,,,,11.48,11.16,10.91,7.44,0.25,爱普股份,2026-05-13,11.654,11.225
603038.SH,wyckoff,buy,16.52,13.532,16.62,C,markup,range,bull,range,16.52,0.61,0.36,18.09,0.25,华立股份,2026-05-13,,
603042.SH,ma_cross,buy,23.83,21.759,26.936,B,golden_cross,,,,23.83,13.04,12.79,8.69,0.25,华脉科技,2026-05-13,22.726,21.319
603061.SH,ma_cross,buy,323.0,277.437,391.345,B,golden_cross,,,,323.0,21.16,20.91,14.11,0.25,金海通,2026-05-13,289.372,271.836
603058.SH,ma_cross,buy,11.64,10.552,13.272,B,golden_cross,,,,11.64,14.02,13.77,9.35,0.25,永吉股份,2026-05-13,11.944,11.819
603056.SH,wyckoff,buy,18.85,13.462,18.88,C,markup,range,bull,range,18.85,0.16,-0.09,28.58,0.25,德邦股份,2026-01-20,,
603067.SH,ma_cross,buy,40.83,35.909,48.212,B,golden_cross,,,,40.83,18.08,17.83,12.05,0.25,振华股份,2026-05-13,40.396,37.561
603066.SH,wyckoff,buy,11.83,9.244,12.37,C,markup,range,bull,range,11.83,4.56,4.31,21.86,0.25,音飞储存,2026-05-13,,
603069.SH,ma_cross,buy,18.22,17.071,19.943,B,golden_cross,,,,18.22,9.46,9.21,6.31,0.25,海汽集团,2026-05-13,17.216,17.152
603073.SH,wyckoff,buy,20.71,17.801,21.74,C,markup,bull,bull,bull,20.71,4.97,4.72,14.05,0.25,彩蝶实业,2026-05-13,,
603106.SH,ma_cross,buy,9.01,8.601,9.623,B,golden_cross,,,,9.01,6.81,6.56,4.54,0.25,恒银科技,2026-05-13,9.078,8.985
603100.SH,ma_cross,buy,20.11,19.164,21.529,B,golden_cross,,,,20.11,7.06,6.81,4.7,0.25,川仪股份,2026-05-13,20.292,19.728
603102.SH,ma_cross,buy,40.83,39.149,43.352,B,golden_cross,,,,40.83,6.18,5.93,4.12,0.25,百合股份,2026-05-13,41.314,40.812
603099.SH,ma_cross,buy,37.85,35.644,41.159,B,golden_cross,,,,37.85,8.74,8.49,5.83,0.25,长白山,2026-05-13,36.456,35.417
603138.SH,ma_cross,buy,20.11,17.721,23.694,B,golden_cross,,,,20.11,17.82,17.57,11.88,0.25,海量数据,2026-05-13,19.988,19.926
603166.SH,ma_cross,buy,14.49,13.788,15.543,B,golden_cross,,,,14.49,7.27,7.02,4.84,0.25,福达股份,2026-05-13,14.478,13.846
603168.SH,ma_cross,buy,6.54,6.128,7.158,C,golden_cross,,,,6.54,9.45,9.2,6.3,0.25,莎普爱思,2026-05-13,6.65,6.619
603182.SH,ma_cross,buy,14.91,13.913,16.405,B,golden_cross,,,,14.91,10.03,9.78,6.69,0.25,嘉华股份,2026-05-13,15.032,14.811
