symbol,symbol_name,fast_ma,slow_ma,atr_config,cooldown_days,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000001.SH,上证综指,5,10,低波,30,0.03928853010824995,0.28973705804231975,0.006632631655851817,0.04461427037618493,-0.03798163872033311,-0.26593652639598275,22,0.8257317903335603,False
399001.SZ,深证成指,5,10,低波,30,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,低波,30,-0.020398852096500497,0.5029503771193011,-0.003529268052905432,0.07239311275556881,-0.07592238080847424,-0.1736545755262653,13,0.2614023144996596,False
000016.SH,上证50,5,10,低波,30,0.2575284325212972,-0.043010897758050226,0.040092129472858895,-0.007513324632236529,0.047605454105095424,-0.21270864354834185,17,0.6249149081007488,True
000300.SH,沪深300,5,10,低波,30,0.26746977555735296,0.08796885835723467,0.041498047949441785,0.014568516085060601,0.026929531864381184,-0.18355483173943443,11,0.4098025867937372,True
000905.SH,中证500,5,10,低波,30,0.0755569405764005,0.34243545124274366,0.01257350938592161,0.051815362855263114,-0.0392418534693415,-0.1594438772997684,7,0.4016337644656229,False
000852.SH,中证1000,5,10,低波,30,-0.1644685366083508,0.23020960052344552,-0.03035427062817153,0.03618068123075746,-0.06653495185892899,-0.27458359848970004,3,0.10959836623553437,False
932000.SH,中证2000,5,10,低波,30,0.11008567324655205,0.5888259077982627,0.018077155766815345,0.08266398506961314,-0.0645868293027978,-0.28252267044630264,29,0.7052416609938734,False
000001.SH,上证综指,5,10,低波,60,0.2191560625397475,0.28973705804231975,0.03457758832021307,0.04461427037618493,-0.010036682055971857,-0.2335519142199476,5,0.9496255956432947,False
399001.SZ,深证成指,5,10,低波,60,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,低波,60,0.06844748175325055,0.5029503771193011,0.011422176952930574,0.07239311275556881,-0.06097093580263824,-0.1153779458327,10,0.21715452688904016,False
000016.SH,上证50,5,10,低波,60,0.030422628457547285,-0.043010897758050226,0.005154284361536421,-0.007513324632236529,0.01266760899377295,-0.17609319042479676,11,0.5262083049693669,True
