symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,group_eligible
000001.SH,上证综指,20,250,14,60,1.0,1.05,0.009824699689616079,-0.25746843518842644,5,5.449677682207638,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=14/60|buy=1.00|sell=1.05,True
000016.SH,上证50,20,250,14,60,1.0,1.05,0.009234801731463405,-0.44504555567739845,4,1.162119994034064,0.0,True,0.15,False,large_cap,vol_on|tv=0.15|atr=14/60|buy=1.00|sell=1.05,False
000300.SH,沪深300,20,250,14,60,1.0,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=14/60|buy=1.00|sell=1.05,True
000001.SH,上证综指,20,250,14,60,1.05,1.05,0.009824699689616079,-0.25746843518842644,5,5.449677682207638,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=14/60|buy=1.05|sell=1.05,True
000016.SH,上证50,20,250,14,60,1.05,1.05,0.007547078426316189,-0.4540787830796841,1,0.9997000899730081,0.0,False,0.15,False,large_cap,vol_off|tv=0.15|atr=14/60|buy=1.05|sell=1.05,False
000300.SH,沪深300,20,250,14,60,1.05,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=14/60|buy=1.05|sell=1.05,True
000001.SH,上证综指,20,250,14,60,1.05,1.05,0.005738242143112915,-0.2429206284806147,5,5.321724743734909,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=14/60|buy=1.05|sell=1.05,True
000016.SH,上证50,20,250,14,60,1.05,1.05,0.014561963056030192,-0.3949970325621014,4,1.159864798041493,0.0,True,0.12,False,large_cap,vol_on|tv=0.12|atr=14/60|buy=1.05|sell=1.05,False
000300.SH,沪深300,20,250,14,60,1.05,1.05,0.05065045991528172,-0.3008964660604342,6,5.749199293180796,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=14/60|buy=1.05|sell=1.05,True
000001.SH,上证综指,20,250,14,60,1.05,1.05,0.009824699689616079,-0.25746843518842644,5,5.449677682207638,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=14/60|buy=1.05|sell=1.05,True
000016.SH,上证50,20,250,14,60,1.05,1.05,0.009234801731463405,-0.44504555567739845,4,1.162119994034064,0.0,True,0.15,False,large_cap,vol_on|tv=0.15|atr=14/60|buy=1.05|sell=1.05,False
000300.SH,沪深300,20,250,14,60,1.05,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=14/60|buy=1.05|sell=1.05,True
000001.SH,上证综指,20,250,20,40,1.0,1.05,0.009824699689616079,-0.25746843518842644,5,5.449677682207638,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,True
