group,candidate_key,enable_volatility_scaling,target_volatility,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,group_eligible,avg_excess,avg_drawdown,avg_trades,avg_turnover,avg_whipsaw
balanced,vol_on|tv=0.15|atr=20/40|buy=1.00|sell=1.05,True,0.15,20,40,1.0,1.05,0,-0.046036295757370005,-0.21945377974328728,2.5,2.453999370056529,0.0
balanced,vol_on|tv=0.18|atr=20/40|buy=1.00|sell=1.05,True,0.18,20,40,1.0,1.05,0,-0.046036295757370005,-0.21945377974328728,2.5,2.453999370056529,0.0
balanced,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False,0.15,20,40,1.05,1.05,0,-0.04716302918202764,-0.22352840248501488,2.5,2.453999370056529,0.0
balanced,vol_on|tv=0.15|atr=20/40|buy=1.05|sell=1.05,True,0.15,20,40,1.05,1.05,0,-0.04716302918202764,-0.22352840248501488,2.5,2.453999370056529,0.0
balanced,vol_on|tv=0.18|atr=20/40|buy=1.05|sell=1.05,True,0.18,20,40,1.05,1.05,0,-0.04716302918202764,-0.22352840248501488,2.5,2.453999370056529,0.0
high_beta,vol_on|tv=0.18|atr=14/20|buy=1.00|sell=1.15,True,0.18,14,20,1.0,1.15,0,-0.05048815254684347,-0.39976738418939295,1.6666666666666667,0.9997000899730081,0.0
high_beta,vol_on|tv=0.18|atr=14/20|buy=1.05|sell=1.15,True,0.18,14,20,1.05,1.15,0,-0.05048815254684347,-0.39976738418939295,1.6666666666666667,0.9997000899730081,0.0
high_beta,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False,0.15,14,20,1.0,1.15,0,-0.05059083685613571,-0.39989314169576046,1.0,0.9997000899730081,0.0
high_beta,vol_off|tv=0.15|atr=14/20|buy=1.05|sell=1.15,False,0.15,14,20,1.05,1.15,0,-0.05059083685613571,-0.39989314169576046,1.0,0.9997000899730081,0.0
high_beta,vol_on|tv=0.20|atr=14/20|buy=1.00|sell=1.15,True,0.2,14,20,1.0,1.15,0,-0.05059083685613571,-0.39989314169576046,1.0,0.9997000899730081,0.0
high_beta,vol_on|tv=0.20|atr=14/20|buy=1.05|sell=1.15,True,0.2,14,20,1.05,1.15,0,-0.05059083685613571,-0.39989314169576046,1.0,0.9997000899730081,0.0
high_beta,vol_on|tv=0.18|atr=20/40|buy=1.05|sell=1.05,True,0.18,20,40,1.05,1.05,0,-0.05682807951197252,-0.3711197462653695,4.0,3.198823921728939,0.0
high_beta,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False,0.15,20,40,1.05,1.05,0,-0.05697681455120951,-0.3721040675756171,3.3333333333333335,3.19722550123311,0.0
high_beta,vol_on|tv=0.20|atr=20/40|buy=1.05|sell=1.05,True,0.2,20,40,1.05,1.05,0,-0.05697681455120951,-0.3721040675756171,3.3333333333333335,3.19722550123311,0.0
high_beta,vol_on|tv=0.18|atr=14/60|buy=1.00|sell=1.05,True,0.18,14,60,1.0,1.05,0,-0.07262397702226837,-0.3352993893554717,3.6666666666666665,3.044232143583242,0.0
high_beta,vol_on|tv=0.18|atr=14/60|buy=1.05|sell=1.05,True,0.18,14,60,1.05,1.05,0,-0.07262397702226837,-0.3352993893554717,3.6666666666666665,3.044232143583242,0.0
high_beta,vol_off|tv=0.15|atr=14/60|buy=1.00|sell=1.05,False,0.15,14,60,1.0,1.05,0,-0.07276593734392482,-0.3358919282532475,3.0,3.0419178335618704,0.0
high_beta,vol_off|tv=0.15|atr=14/60|buy=1.05|sell=1.05,False,0.15,14,60,1.05,1.05,0,-0.07276593734392482,-0.3358919282532475,3.0,3.0419178335618704,0.0
high_beta,vol_on|tv=0.20|atr=14/60|buy=1.00|sell=1.05,True,0.2,14,60,1.0,1.05,0,-0.07276593734392482,-0.3358919282532475,3.0,3.0419178335618704,0.0
high_beta,vol_on|tv=0.20|atr=14/60|buy=1.05|sell=1.05,True,0.2,14,60,1.05,1.05,0,-0.07276593734392482,-0.3358919282532475,3.0,3.0419178335618704,0.0
balanced,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False,0.15,14,20,1.0,1.15,0,-0.07438354202206271,-0.1645309216308442,1.0,0.8870628272923611,0.0
balanced,vol_off|tv=0.15|atr=14/20|buy=1.05|sell=1.15,False,0.15,14,20,1.05,1.15,0,-0.07438354202206271,-0.1645309216308442,1.0,0.8870628272923611,0.0
balanced,vol_on|tv=0.15|atr=14/20|buy=1.00|sell=1.15,True,0.15,14,20,1.0,1.15,0,-0.07438354202206271,-0.1645309216308442,1.0,0.8870628272923611,0.0
balanced,vol_on|tv=0.15|atr=14/20|buy=1.05|sell=1.15,True,0.15,14,20,1.05,1.15,0,-0.07438354202206271,-0.1645309216308442,1.0,0.8870628272923611,0.0
balanced,vol_on|tv=0.18|atr=14/20|buy=1.00|sell=1.15,True,0.18,14,20,1.0,1.15,0,-0.07438354202206271,-0.1645309216308442,1.0,0.8870628272923611,0.0
balanced,vol_on|tv=0.18|atr=14/20|buy=1.05|sell=1.15,True,0.18,14,20,1.05,1.15,0,-0.07438354202206271,-0.1645309216308442,1.0,0.8870628272923611,0.0
