date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,atr_ratio,price_drawdown,recent_drawdown_min,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2020-01-02,000016.SH,3073.93,3107.52,3073.93,3090.83,50036392.0,none,0.0,持有,hold,0.0,1.1829375923392287,0.0,-0.030045212218585582,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0
2020-01-03,000016.SH,3097.25,3097.41,3072.11,3078.28,37185493.0,none,0.0,持有,hold,0.0,1.0777671703638287,-0.004060398016066835,-0.02256435891027242,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9959396019839332,0.0,-0.004060398016066835,0.004060398016066835,False,1.0,0.0
2020-01-06,000016.SH,3062.28,3090.84,3040.19,3056.84,47707827.0,none,0.0,持有,hold,0.0,1.137303541703581,-0.010997046100885477,-0.02256435891027242,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9890029538991145,0.0,-0.006964928466546283,0.006964928466546283,False,1.0,0.0
2020-01-07,000016.SH,3063.75,3080.27,3061.56,3074.02,34371788.0,none,0.0,持有,hold,0.0,1.0401370975015782,-0.0054386685776959265,-0.02124802132800141,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9945613314223041,0.0,0.005620182934010121,-0.005620182934010121,False,1.0,0.0
2020-01-08,000016.SH,3058.36,3058.7,3030.1,3037.85,37653773.0,none,0.0,持有,hold,0.0,1.0869248776436953,-0.017141026843922158,-0.020898108806131854,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9828589731560778,0.0,-0.011766351552690013,0.011766351552690013,False,1.0,0.0
2020-01-09,000016.SH,3060.77,3071.54,3055.99,3067.55,33150515.0,none,0.0,持有,hold,0.0,1.1083691493883718,-0.007531957435381376,-0.020898108806131854,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9924680425646186,0.0,0.009776651250061885,-0.009776651250061885,False,1.0,0.0
2020-01-10,000016.SH,3079.08,3081.96,3058.16,3067.88,28542389.0,none,0.0,持有,hold,0.0,1.091775540801029,-0.007425189997508741,-0.017141026843922158,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9925748100024913,0.0,0.0001075777085948193,-0.0001075777085948193,False,1.0,0.0
2020-01-13,000016.SH,3069.68,3090.13,3054.88,3090.13,29330835.0,none,0.0,持有,hold,0.0,1.0566706838992097,-0.00022647638336625864,-0.017141026843922158,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9997735236166337,0.0,0.00725256528938556,-0.00725256528938556,False,1.0,0.0
2020-01-14,000016.SH,3097.73,3108.18,3078.46,3080.6,35129017.0,none,0.0,持有,hold,0.0,1.0764470889005262,-0.0033097905740528955,-0.017141026843922158,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9966902094259471,0.0,-0.0030840126467172047,0.0030840126467172047,False,1.0,0.0
2020-01-15,000016.SH,3078.25,3086.97,3052.7,3058.01,28116086.0,none,0.0,持有,hold,0.0,1.10243198563873,-0.010618507002973177,-0.017141026843922158,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9893814929970268,0.0,-0.007332987080438724,0.007332987080438724,False,1.0,0.0
2020-01-16,000016.SH,3067.95,3068.2,3039.07,3043.09,28312318.0,none,0.0,持有,hold,0.0,1.1008990175417233,-0.015445689345580216,-0.017141026843922158,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9845543106544198,0.0,-0.0048789899313606,0.0048789899313606,False,1.0,0.0
2020-01-17,000016.SH,3054.04,3067.56,3042.59,3053.17,23304514.0,none,0.0,持有,hold,0.0,1.0656575187512345,-0.01218442942510578,-0.017141026843922158,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9878155705748942,0.0,0.0033124225704792565,-0.0033124225704792565,False,1.0,0.0
2020-01-20,000016.SH,3070.67,3072.29,3054.45,3065.99,27274849.0,none,0.0,持有,hold,0.0,0.9755317092248846,-0.00803667623259774,-0.017141026843922158,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9919633237674023,0.0,0.004198914570757495,-0.004198914570757495,False,1.0,0.0
2020-01-21,000016.SH,3048.95,3050.82,3011.18,3012.11,32801291.0,none,0.0,持有,hold,0.0,1.0421299728193707,-0.02546888699799077,-0.02546888699799077,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9745311130020092,0.0,-0.017573442835756015,0.017573442835756015,False,1.0,0.0
2020-01-22,000016.SH,2996.81,3023.9,2965.66,3017.88,33159760.0,none,0.0,持有,hold,0.0,1.0630205259361256,-0.02360207452367158,-0.02546888699799077,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9763979254763284,0.0,0.0019156006918736868,-0.0019156006918736868,False,1.0,0.0
2020-01-23,000016.SH,2993.77,2993.77,2910.39,2932.49,42839352.0,none,0.0,持有,hold,0.0,1.2196581893389056,-0.05122895791745263,-0.05122895791745263,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9487710420825474,0.0,-0.028294696939573538,0.028294696939573538,False,1.0,0.0
2020-02-03,000016.SH,2676.01,2755.84,2676.01,2727.09,58609184.0,none,0.0,持有,hold,0.0,1.597783012103259,-0.11768359955092966,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.8823164004490703,0.0,-0.0700428645962986,0.0700428645962986,False,1.0,0.0
2020-02-04,000016.SH,2724.13,2796.71,2724.13,2794.66,57016369.0,none,0.0,持有,hold,0.0,1.6310535385346716,-0.09582215780227321,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9041778421977268,0.0,0.024777326747558615,-0.024777326747558615,False,1.0,0.0
2020-02-05,000016.SH,2803.74,2833.21,2782.42,2812.9,44182070.0,none,0.0,持有,hold,0.0,1.5867410409727507,-0.08992083032712894,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9100791696728711,0.0,0.006526733126748896,-0.006526733126748896,False,1.0,0.0
2020-02-06,000016.SH,2829.51,2866.39,2809.37,2854.89,42134251.0,none,0.0,持有,hold,0.0,1.5726662945338847,-0.07633548270205737,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9236645172979426,0.0,0.014927654733548845,-0.014927654733548845,False,1.0,0.0
2020-02-07,000016.SH,2836.8,2851.82,2819.67,2851.71,34443628.0,none,0.0,持有,hold,0.0,1.540098021936546,-0.0771553300346588,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9226356674420787,0.0,-0.0011138782930339985,0.0011138782930339985,False,1.0,0.0
2020-02-10,000016.SH,2826.8,2854.83,2817.77,2850.06,33654934.0,none,0.0,持有,hold,0.0,1.4873619699267715,-0.07768928815292564,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9221018302527153,0.0,-0.0005786002082961428,0.0005786002082961428,False,1.0,0.0
2020-02-11,000016.SH,2858.92,2893.07,2854.07,2879.86,36028244.0,none,0.0,持有,hold,0.0,1.45904370384491,-0.06804568092604513,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9317432534303084,0.0,0.010455920226240867,-0.010455920226240867,False,1.0,0.0
2020-02-12,000016.SH,2876.67,2895.93,2870.77,2895.59,31230750.0,none,0.0,持有,hold,0.0,1.3932899496398328,-0.06295528019856766,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9368325013022393,0.0,0.0054620710728994215,-0.0054620710728994215,False,1.0,0.0
2020-02-13,000016.SH,2898.4,2906.72,2871.27,2875.48,37434764.0,none,0.0,持有,hold,0.0,1.35759068656273,-0.0694630970218082,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9303261583458166,0.0,-0.006945044015209345,0.006945044015209345,False,1.0,0.0
2020-02-14,000016.SH,2870.71,2900.2,2870.63,2895.06,35125996.0,none,0.0,持有,hold,0.0,1.322488527561965,-0.06312679401837473,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9366610263262619,0.0,0.006809297925911562,-0.006809297925911562,False,1.0,0.0
2020-02-17,000016.SH,2901.69,2950.28,2898.59,2950.07,45296532.0,none,0.0,持有,hold,0.0,1.331774446931378,-0.045324953966337955,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9544588346819464,0.0,0.019001333305700197,-0.019001333305700197,False,1.0,0.0
2020-02-18,000016.SH,2940.65,2944.43,2914.96,2924.4,38098991.0,none,0.0,持有,hold,0.0,1.2628317850149777,-0.05070440823216249,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9461536221662143,0.0,-0.008701488439257443,0.008701488439257443,False,1.0,0.0
2020-02-19,000016.SH,2917.13,2942.35,2914.59,2923.76,40270252.0,none,0.0,持有,hold,0.0,1.1868569459410674,-0.0463895837885967,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9459465580442794,0.0,-0.00021884831076457445,0.00021884831076457445,False,1.0,0.0
2020-02-20,000016.SH,2931.37,2981.27,2920.8,2978.18,50229847.0,none,0.0,持有,hold,0.0,1.0973667342411433,-0.02864001513377412,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.963553479162555,0.0,0.01861301885243649,-0.01861301885243649,False,1.0,0.0
2020-02-21,000016.SH,2965.6,2991.06,2959.51,2968.14,46920152.0,none,0.0,持有,hold,0.0,0.7909844469499437,-0.03191465073271604,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9603051607497015,0.0,-0.0033711864292956806,0.0033711864292956806,False,1.0,0.0
2020-02-24,000016.SH,2949.98,2953.29,2922.16,2930.03,48637573.0,none,0.0,持有,hold,0.0,0.751084836560525,-0.044344567333878926,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9479751393638602,0.0,-0.0128396908501619,0.0128396908501619,False,1.0,0.0
2020-02-25,000016.SH,2891.98,2912.16,2869.64,2909.32,53157948.0,none,0.0,持有,hold,0.0,0.7567621970506965,-0.03597227192598773,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9412746737931236,0.0,-0.007068187015149996,0.007068187015149996,False,1.0,0.0
2020-02-26,000016.SH,2877.46,2930.02,2872.83,2901.67,62965029.0,none,0.0,持有,hold,0.0,0.7517383804018947,-0.03850716396940901,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9387996104606207,0.0,-0.0026294804284162643,0.0026294804284162643,False,1.0,0.0
2020-02-27,000016.SH,2904.87,2927.2,2903.75,2912.04,42152250.0,none,0.0,持有,hold,0.0,0.7351930164087024,-0.022208194266296832,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9421546963113469,0.0,0.003573804050770679,-0.003573804050770679,False,1.0,0.0
2020-02-28,000016.SH,2860.28,2880.8,2818.43,2821.04,58479965.0,none,0.0,持有,hold,0.0,0.8052130470239277,-0.05276376847604913,-0.11768359955092966,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9127127664737303,0.0,-0.031249570747654554,0.031249570747654554,False,1.0,0.0
2020-03-02,000016.SH,2837.77,2922.95,2837.77,2907.89,54884776.0,none,0.0,持有,hold,0.0,0.8860708727325888,-0.023601662760477815,-0.09582215780227321,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9408120148956752,0.0,0.030786518447097455,-0.030786518447097455,False,1.0,0.0
2020-03-03,000016.SH,2941.68,2948.55,2910.76,2921.44,53161398.0,none,0.0,持有,hold,0.0,0.913395047922594,-0.01905190418309166,-0.08992083032712894,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9451959506022655,0.0,0.004659736097307743,-0.004659736097307743,False,1.0,0.0
