symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
688350.SH,富淼科技,12,2023-05-25,structural_low,markdown,空仓观望,D,markdown,True,False,HOLD,-5.86,1.54,10.93,-5.02,-0.84
688350.SH,富淼科技,13,2023-10-23,bear_bottom,accumulation,观察等待,C,spring,True,True,BUY,-18.53,15.33,39.2,2.21,-20.74
688350.SH,富淼科技,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,11.04,36.79,9.78,8.74,2.3
688350.SH,富淼科技,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,-24.55,1.09,33.16,-3.95,-20.6
688350.SH,富淼科技,16,2024-09-13,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,52.46,65.86,3.35,21.64,30.82
688350.SH,富淼科技,17,2024-10-08,crash_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,5.48,17.33,14.74,-7.69,13.17
688350.SH,富淼科技,18,2025-01-13,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,29.9,37.4,6.67,3.48,26.42
688350.SH,富淼科技,19,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,10.94,14.72,22.08,3.44,7.5
688350.SH,富淼科技,20,2025-04-07,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,94.74,109.33,3.9,17.08,77.66
688143.SH,长盈通,13,2023-10-23,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-24.53,37.23,53.74,2.21,-26.74
688143.SH,长盈通,14,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,19.45,64.51,17.29,8.74,10.71
688143.SH,长盈通,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,-19.7,16.98,31.74,-3.95,-15.75
688143.SH,长盈通,16,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,77.33,96.44,4.81,21.64,55.69
688143.SH,长盈通,17,2024-10-08,crash_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,15.98,40.83,26.52,-7.69,23.67
688143.SH,长盈通,18,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,63.49,86.73,0.0,3.48,60.01
688143.SH,长盈通,19,2025-03-04,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,33.22,37.99,11.31,3.44,29.78
688143.SH,长盈通,20,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,100.44,108.79,3.32,17.08,83.36
603195.SH,公牛集团,6,2021-03-09,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,22.37,30.28,5.8,2.78,19.59
603195.SH,公牛集团,7,2021-07-28,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,-9.74,2.93,20.45,6.19,-15.93
603195.SH,公牛集团,8,2021-11-10,rebound_start,markdown,空仓观望,B,markdown,True,False,HOLD,-14.3,14.53,18.78,-11.82,-2.48
603195.SH,公牛集团,9,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,11.73,18.88,1.1,4.02,7.71
603195.SH,公牛集团,10,2022-10-31,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,38.66,46.21,1.65,13.57,25.09
603195.SH,公牛集团,11,2022-12-23,rebound_start,markup,持有观察,C,markup,True,False,AVOID,5.77,22.88,3.87,2.86,2.91
603195.SH,公牛集团,12,2023-05-25,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,-33.62,2.25,40.48,-5.02,-28.6
603195.SH,公牛集团,13,2023-10-23,bear_bottom,accumulation,空仓观望,C,accumulation,True,False,HOLD,2.51,9.04,11.52,2.21,0.3
