symbol,symbol_name,fast_ma,slow_ma,atr_config,cooldown_days,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000001.SH,上证综指,5,10,低波,30,0.055923642044799715,0.28973705804231975,0.00937849073602437,0.04461427037618493,-0.03523577964016056,-0.2297385231067447,18,0.8543226684819605,False
399001.SZ,深证成指,5,10,低波,30,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,低波,30,-0.0065012466042003725,0.5029503771193011,-0.0011182734361114832,0.07239311275556881,-0.0735113861916803,-0.2259031740657539,19,0.36963921034717495,False
000016.SH,上证50,5,10,低波,30,0.20310190900650316,-0.043010897758050226,0.032227676885616674,-0.007513324632236529,0.0397410015178532,-0.19951258153945473,13,0.6031313818924439,True
000300.SH,沪深300,5,10,低波,30,0.2574926999701499,0.08796885835723467,0.040087059543856274,0.014568516085060601,0.025518543458795673,-0.23067415628213228,8,0.5323349217154527,True
000905.SH,中证500,5,10,低波,30,-0.08046218363024771,0.34243545124274366,-0.014286881890595682,0.051815362855263114,-0.0661022447458588,-0.34051519289571974,6,0.627637848876787,False
000852.SH,中证1000,5,10,低波,30,-0.010610628746748785,0.23020960052344552,-0.0018282554703499265,0.03618068123075746,-0.03800893670110739,-0.10755364476772455,3,0.08917631041524847,False
932000.SH,中证2000,5,10,低波,30,0.08562487180939904,0.5888259077982627,0.01419320906017818,0.08266398506961314,-0.06847077600943496,-0.33207965709242726,24,0.7508509189925119,False
000001.SH,上证综指,5,10,低波,60,0.2288584744008979,0.28973705804231975,0.03598536934165053,0.04461427037618493,-0.008628901034534397,-0.2137142408732089,5,0.9543907420013614,False
399001.SZ,深证成指,5,10,低波,60,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,低波,60,0.06844748175325055,0.5029503771193011,0.011422176952930574,0.07239311275556881,-0.06097093580263824,-0.1153779458327,10,0.21715452688904016,False
000016.SH,上证50,5,10,低波,60,0.11107981721330118,-0.043010897758050226,0.01823350334973539,-0.007513324632236529,0.02574682798197192,-0.11618315512339583,7,0.505786249149081,True
000300.SH,沪深300,5,10,低波,60,0.10245474778530261,0.08796885835723467,0.01687317312079717,0.014568516085060601,0.002304657035736568,-0.16354670803226978,6,0.4547311095983662,True
000905.SH,中证500,5,10,低波,60,-0.1145498106489986,0.34243545124274366,-0.02065376658728668,0.051815362855263114,-0.0724691294425498,-0.19401735114794072,2,0.26480599046970726,False
000852.SH,中证1000,5,10,低波,60,-0.17742056629815073,0.23020960052344552,-0.03294948409840437,0.03618068123075746,-0.06913016532916183,-0.21536925601464985,4,0.21647379169503064,False
932000.SH,中证2000,5,10,低波,60,-0.10106935914125126,0.5888259077982627,-0.018112014927666453,0.08266398506961314,-0.1007759999972796,-0.29085127257638854,16,0.6827773995915589,False
000001.SH,上证综指,5,10,低波,90,0.051637012890848766,0.28973705804231975,0.008674369090943879,0.04461427037618493,-0.03593990128524105,-0.19394153597774166,4,0.6439754935330156,False
399001.SZ,深证成指,5,10,低波,90,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,低波,90,0.045788531769900276,0.5029503771193011,0.007709852578378307,0.07239311275556881,-0.0646832601771905,-0.03741810099922804,4,0.12729748127978216,False
000016.SH,上证50,5,10,低波,90,0.03632088719795257,-0.043010897758050226,0.006138958473690392,-0.007513324632236529,0.013652283105926921,-0.12223736911559846,9,0.46562287270251873,True
000300.SH,沪深300,5,10,低波,90,0.03386749540475198,0.08796885835723467,0.005729946839240885,0.014568516085060601,-0.008838569245819716,-0.19206921871507376,5,0.4622191967324711,False
000905.SH,中证500,5,10,低波,90,0.0,0.34243545124274366,0.0,0.051815362855263114,-0.051815362855263114,0.0,0,0.0,False
000852.SH,中证1000,5,10,低波,90,0.14317814695780062,0.23020960052344552,0.02322034550895613,0.03618068123075746,-0.01296033572180133,-0.09404709351555363,1,0.12185159972770593,False
932000.SH,中证2000,5,10,低波,90,-0.07647265906009815,0.5888259077982627,-0.013554560555469997,0.08266398506961314,-0.09621854562508314,-0.12933607716630846,14,0.4383934649421375,False
000001.SH,上证综指,5,10,低波,120,0.06671249675254987,0.28973705804231975,0.011140243847059583,0.04461427037618493,-0.033474026529125345,-0.19718671993062453,4,0.8134785568413887,False
399001.SZ,深证成指,5,10,低波,120,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,低波,120,-0.037085783921050886,0.5029503771193011,-0.006461890462488462,0.07239311275556881,-0.07885500321805727,-0.039720140895999956,2,0.08236895847515316,False
000016.SH,上证50,5,10,低波,120,0.03539312498704916,-0.043010897758050226,0.005984383120339443,-0.007513324632236529,0.013497707752575971,-0.09712517083921901,5,0.4036759700476515,True
000300.SH,沪深300,5,10,低波,120,0.11284024674339865,0.08796885835723467,0.018510079458198714,0.014568516085060601,0.003941563373138113,-0.06368242362582877,2,0.22940776038121172,False
000905.SH,中证500,5,10,低波,120,0.18039559826635143,0.34243545124274366,0.028859307647431276,0.051815362855263114,-0.022956055207831838,-0.10037447479775752,1,0.23076923076923078,False
000852.SH,中证1000,5,10,低波,120,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
932000.SH,中证2000,5,10,低波,120,0.15529393486199927,0.5888259077982627,0.02507254233308509,0.08266398506961314,-0.05759144273652805,-0.20511556185039992,7,0.5527569775357386,False
000001.SH,上证综指,5,10,低波,250,-0.028756873838849062,0.28973705804231975,-0.004992919577639032,0.04461427037618493,-0.04960718995382396,-0.058676948392708095,2,0.17631041524846836,False
399001.SZ,深证成指,5,10,低波,250,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,低波,250,0.24192522231089986,0.5029503771193011,0.03786682184912715,0.07239311275556881,-0.03452629090644166,-0.19454727046190068,3,0.4846834581347856,False
000016.SH,上证50,5,10,低波,250,0.0580298579206473,-0.043010897758050226,0.009723590460751774,-0.007513324632236529,0.017236915092988303,-0.0952207416672669,3,0.4833219877467665,True
000300.SH,沪深300,5,10,低波,250,0.14505500277175076,0.08796885835723467,0.023508330431541324,0.014568516085060601,0.008939814346480723,-0.06297035532176098,2,0.31109598366235536,False
000905.SH,中证500,5,10,低波,250,0.0,0.34243545124274366,0.0,0.051815362855263114,-0.051815362855263114,0.0,0,0.0,False
000852.SH,中证1000,5,10,低波,250,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
