symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,calmar_ratio
399006.SZ,创业板指,5,250,14,20,1.05,1.05,-0.06338624583465835,-0.06570740251531348,1,0.41733100543579327,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.05|vol_on|tv=0.20,-0.9646743503501881
000852.SH,中证1000,5,250,14,20,1.05,1.05,-0.040447669465351055,-0.31039780448426213,8,5.6452195727124685,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.05|vol_on|tv=0.20,-0.1303091351839824
932000.SH,中证2000,5,250,14,20,1.05,1.05,-0.027429400275641447,-0.4389818375814427,9,6.564623445647634,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.05|vol_on|tv=0.20,-0.06248413471218515
399006.SZ,创业板指,5,250,14,20,1.05,1.1,-0.0670185416525182,-0.060411755850752424,1,0.3755979048922139,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.18,-1.1093625852903177
000852.SH,中证1000,5,250,14,20,1.05,1.1,-0.04041367584765432,-0.29153398409835596,8,4.423497809252033,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.18,-0.13862423611656813
932000.SH,中证2000,5,250,14,20,1.05,1.1,-0.027777240069045916,-0.43739242468494755,9,6.215118863604068,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.18,-0.06350644981804104
399006.SZ,创业板指,5,250,14,20,1.05,1.1,-0.06338624583465835,-0.06570740251531348,1,0.41733100543579327,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.20,-0.9646743503501881
000852.SH,中证1000,5,250,14,20,1.05,1.1,-0.039039984586977106,-0.31039780448426246,7,4.4565720793674375,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.20,-0.12577403584359592
932000.SH,中证2000,5,250,14,20,1.05,1.1,-0.027429400275641447,-0.4389818375814427,9,6.564623445647634,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.10|vol_on|tv=0.20,-0.06248413471218515
399006.SZ,创业板指,5,250,14,20,1.05,1.15,-0.0670185416525182,-0.060411755850752424,1,0.3755979048922139,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.18,-1.1093625852903177
000852.SH,中证1000,5,250,14,20,1.05,1.15,-0.04041367584765432,-0.29153398409835596,8,4.423497809252033,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.18,-0.13862423611656813
932000.SH,中证2000,5,250,14,20,1.05,1.15,-0.027777240069045916,-0.43739242468494755,9,6.215118863604068,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.18,-0.06350644981804104
399006.SZ,创业板指,5,250,14,20,1.05,1.15,-0.06338624583465835,-0.06570740251531348,1,0.41733100543579327,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.20,-0.9646743503501881
000852.SH,中证1000,5,250,14,20,1.05,1.15,-0.039039984586977106,-0.31039780448426246,7,4.4565720793674375,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.20,-0.12577403584359592
932000.SH,中证2000,5,250,14,20,1.05,1.15,-0.027429400275641447,-0.4389818375814427,9,6.564623445647634,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/20|buy=1.05|sell=1.15|vol_on|tv=0.20,-0.06248413471218515
