date,symbol,trade_type,price,units,cash_after,holdings_value_after,portfolio_value_after,executed_position
2022-11-04,000852.SH,buy,6572.474595,76.07484711776205,,,,0.5052385410655065
2024-04-16,000852.SH,sell,5252.582395,76.07484711776205,,,,0.0
2024-10-14,000852.SH,buy,5454.34581,82.4406406542338,,,,0.5073655392758153
