date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2020-01-02,000001.SH,3066.34,3098.1,3066.34,3085.2,292470208.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1929279795384826,0.0,-0.043470658872276635,0.5,,-91.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0,0.0,0.0,0.0,False,1.0,0.0
2020-01-03,000001.SH,3089.02,3093.82,3074.52,3083.79,261496667.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1043400495120768,-0.000457020614546777,-0.03933373800820772,1.0,,-92.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9995429793854532,0.0,-0.000457020614546777,0.000457020614546777,False,1.0,0.0
2020-01-06,000001.SH,3070.91,3107.2,3065.31,3083.41,312575842.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1439885065908832,-0.00058018929080772,-0.03851888995922448,1.0,,-93.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9994198107091923,0.0,-0.00012322499262273912,0.00012322499262273912,False,1.0,0.0
2020-01-07,000001.SH,3085.49,3105.45,3084.33,3104.8,276583111.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0570195339997037,0.0,-0.038116414404666066,1.0,,-94.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.006352910670297,0.0,0.00693712480662656,-0.00693712480662656,False,1.0,0.0
2020-01-08,000001.SH,3094.24,3094.24,3059.13,3066.89,297872553.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1176462935443539,-0.012210126256119613,-0.038116414404666066,1.0,,-95.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,0.9940652145727992,0.0,-0.012210126256119613,0.012210126256119613,False,1.0,0.0
2020-01-09,000001.SH,3082.64,3097.33,3080.13,3094.88,243435649.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1599378842906138,-0.003195052821437838,-0.038116414404666066,0.5,,-96.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0031375599636978,0.0,0.009126509265086291,-0.009126509265086291,False,1.0,0.0
2020-01-10,000001.SH,3102.29,3105.23,3081.4,3092.29,210442462.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1560660676275663,-0.0040292450399381785,-0.020810030520498235,0.5,,-97.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0022980681965514,0.0,-0.0008368660497337643,0.0008368660497337643,False,1.0,0.0
2020-01-13,000001.SH,3091.49,3115.57,3075.38,3115.57,210621004.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1345962891600827,0.0,-0.019742458030320154,1.0,,-98.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.009843770258006,0.0,0.007528401281897912,-0.007528401281897912,False,1.0,0.0
2020-01-14,000001.SH,3120.67,3127.17,3105.61,3106.82,229973769.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.1308290791333624,-0.002808474853718601,-0.019742458030320154,1.0,,-99.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.0070076494230522,0.0,-0.002808474853718601,0.002808474853718601,False,1.0,0.0
2020-01-15,000001.SH,3103.17,3107.94,3082.04,3090.04,202313023.0,none,0.0,无信号,hold,0.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.150996233460057,-0.008194327201764162,-0.019742458030320154,0.5,,-100.00000402589563,0.0,0.6084112598672968,optimal_yaml,0.0,1000000.0,0.0,0.0,1000000.0,1.0,1.001568779981849,0.0,-0.005401020979651228,0.005401020979651228,False,1.0,0.0
