date,symbol,trade_type,price,units,cash_after,holdings_value_after,portfolio_value_after,executed_position
2020-05-07,399001.SZ,buy,10905.36996,45.84897182158504,,,,0.4991084848018859
2020-11-03,399001.SZ,add,13483.31829,37.060616624589684,,,,1.0
