symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
601728.SH,中国电信,6,2022-04-27,event_bottom,accumulation,观察等待,C,spring,True,True,BUY,-1.55,1.29,5.68,4.02,-5.57
601728.SH,中国电信,7,2022-10-31,bear_bottom,accumulation,空仓观望,C,sos_candidate,True,False,HOLD,85.24,91.09,1.53,13.57,71.67
601728.SH,中国电信,8,2024-02-05,crash_bottom,distribution,空仓观望,C,distribution,True,False,HOLD,-0.34,9.54,5.45,8.74,-9.08
601728.SH,中国电信,9,2024-09-13,bear_bottom,accumulation,空仓观望,C,sos_candidate,True,False,HOLD,19.16,23.53,1.68,21.64,-2.48
601728.SH,中国电信,10,2025-01-13,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,16.4,26.06,2.93,3.48,12.92
600273.SH,嘉化能源,1,2017-05-11,bull_start,distribution,空仓观望,B,distribution,True,False,HOLD,-0.88,5.52,4.75,14.49,-15.37
600273.SH,嘉化能源,2,2018-10-19,bear_bottom,markup,持有观察,C,markup,True,False,AVOID,7.24,10.01,14.7,21.72,-14.48
600273.SH,嘉化能源,3,2019-01-04,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,24.97,105.38,3.21,18.05,6.92
600273.SH,嘉化能源,4,2020-03-23,event_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,49.1,51.69,6.09,35.28,13.82
600273.SH,嘉化能源,5,2021-07-28,structural_low,accumulation,观察等待,C,spring,True,True,BUY,23.64,70.59,-1.5,6.19,17.45
600273.SH,嘉化能源,6,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,7.82,16.43,1.9,4.02,3.8
600273.SH,嘉化能源,7,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,1.42,7.46,2.6,13.57,-12.15
600273.SH,嘉化能源,8,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-0.28,15.48,5.86,8.74,-9.02
600273.SH,嘉化能源,9,2024-09-13,bear_bottom,accumulation,空仓观望,C,accumulation,True,False,HOLD,10.48,31.16,1.56,21.64,-11.16
600273.SH,嘉化能源,10,2025-01-13,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,9.76,13.98,3.43,3.48,6.28
688350.SH,富淼科技,6,2022-04-27,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,27.56,31.39,1.98,4.02,23.54
688350.SH,富淼科技,7,2022-10-31,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,30.88,34.16,6.56,13.57,17.31
688350.SH,富淼科技,8,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,11.04,36.79,9.78,8.74,2.3
688350.SH,富淼科技,9,2024-09-13,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,52.46,65.86,3.35,21.64,30.82
688350.SH,富淼科技,10,2025-01-13,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,29.9,37.4,6.67,3.48,26.42
688143.SH,长盈通,8,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,19.45,64.51,17.29,8.74,10.71
688143.SH,长盈通,9,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,77.33,96.44,4.81,21.64,55.69
688143.SH,长盈通,10,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,63.49,86.73,0.0,3.48,60.01
603195.SH,公牛集团,5,2021-07-28,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,-9.74,2.93,20.45,6.19,-15.93
603195.SH,公牛集团,6,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,11.73,18.88,1.1,4.02,7.71
603195.SH,公牛集团,7,2022-10-31,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,38.66,46.21,1.65,13.57,25.09
603195.SH,公牛集团,8,2024-02-05,crash_bottom,accumulation,观察等待,C,spring,True,True,BUY,-18.93,35.72,19.95,8.74,-27.67
