date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,atr_ratio,price_drawdown,recent_drawdown_min,param_source
2020-01-02,000001.SH,3066.34,3098.1,3066.34,3085.2,292470208.0,none,0.0,持有,hold,0.0,1.3164738538607255,0.0,-0.021830658057202967,optimal_yaml
2020-01-03,000001.SH,3089.02,3093.82,3074.52,3083.79,261496667.0,none,0.0,持有,hold,0.0,1.2069292898716222,-0.000457020614546777,-0.019742458030320154,optimal_yaml
2020-01-06,000001.SH,3070.91,3107.2,3065.31,3083.41,312575842.0,none,0.0,持有,hold,0.0,1.2339860622069696,-0.00058018929080772,-0.019742458030320154,optimal_yaml
2020-01-07,000001.SH,3085.49,3105.45,3084.33,3104.8,276583111.0,none,0.0,持有,hold,0.0,1.1269700830660445,0.0,-0.019742458030320154,optimal_yaml
2020-01-08,000001.SH,3094.24,3094.24,3059.13,3066.89,297872553.0,none,0.0,持有,hold,0.0,1.173630464787911,-0.012210126256119613,-0.019742458030320154,optimal_yaml
2020-01-09,000001.SH,3082.64,3097.33,3080.13,3094.88,243435649.0,none,0.0,持有,hold,0.0,1.1966391180281277,-0.003195052821437838,-0.019742458030320154,optimal_yaml
2020-01-10,000001.SH,3102.29,3105.23,3081.4,3092.29,210442462.0,none,0.0,持有,hold,0.0,1.166432693015567,-0.0040292450399381785,-0.019742458030320154,optimal_yaml
2020-01-13,000001.SH,3091.49,3115.57,3075.38,3115.57,210621004.0,none,0.0,持有,hold,0.0,1.1245367650452334,0.0,-0.019742458030320154,optimal_yaml
2020-01-14,000001.SH,3120.67,3127.17,3105.61,3106.82,229973769.0,none,0.0,持有,hold,0.0,1.102956342385697,-0.002808474853718601,-0.019742458030320154,optimal_yaml
2020-01-15,000001.SH,3103.17,3107.94,3082.04,3090.04,202313023.0,none,0.0,持有,hold,0.0,1.1095493865413815,-0.008194327201764162,-0.019742458030320154,optimal_yaml
2020-01-16,000001.SH,3095.73,3096.37,3070.88,3074.08,203375475.0,none,0.0,持有,hold,0.0,1.092218184953734,-0.013316985334946851,-0.019742458030320154,optimal_yaml
2020-01-17,000001.SH,3081.46,3091.95,3067.25,3075.5,190304299.0,none,0.0,持有,hold,0.0,1.0587844836648062,-0.012861209987257594,-0.019742458030320154,optimal_yaml
2020-01-20,000001.SH,3082.11,3096.31,3070.48,3095.79,210493341.0,none,0.0,持有,hold,0.0,0.9736909861198862,-0.006348758012177602,-0.019742458030320154,optimal_yaml
2020-01-21,000001.SH,3085.79,3085.79,3051.23,3052.14,234830739.0,none,0.0,持有,hold,0.0,1.0189065155938737,-0.020359035425299488,-0.020359035425299488,optimal_yaml
2020-01-22,000001.SH,3038.49,3069.25,3006.27,3060.75,223852865.0,none,0.0,持有,hold,0.0,1.043158448141676,-0.017595496169240388,-0.020359035425299488,optimal_yaml
2020-01-23,000001.SH,3037.95,3045.04,2955.35,2976.53,272763234.0,none,0.0,持有,hold,0.0,1.2157844124147306,-0.04462746784697502,-0.04462746784697502,optimal_yaml
