date,symbol,trade_type,price,target_position,units,cash_after_trade,holdings_value_after_trade,portfolio_value_after_trade,executed_position
2020-04-17,000905.SH,buy,5357.65749,0.5286653241306505,98.6747146709915,471176.07627211034,528401.123568866,999577.1998409764,0.5269186417859799
2021-02-08,000905.SH,sell,6244.79604,0.0,98.6747146709915,1087194.6826574202,0.0,1087194.6826574202,0.0
2021-04-26,000905.SH,buy,6483.54015,1.0,167.63505691729216,0.0,1086325.4593411284,1086325.4593411284,1.0
2022-01-19,000905.SH,sell,7140.90776,0.0,167.63505691729216,1196707.3588450965,0.0,1196707.3588450965,0.0
2022-07-04,000905.SH,buy,6448.292535,0.8419068511545976,156.24541206377052,188888.97976901464,1007012.6179298453,1195901.5976988599,0.8436476495643758
2022-12-12,000905.SH,add,6184.33062,1.0,30.533996591209682,0.0,1154528.3519545097,1154528.3519545097,1.0
2023-05-09,000905.SH,sell,6239.53867,0.0,186.7794086549802,1165067.717859563,0.0,1165067.717859563,0.0
2024-03-15,000905.SH,buy,5382.71001,0.7942380280377926,171.9098901936333,239449.0287702633,924878.6474395511,1164327.6762098144,0.7965722065408736
2025-04-08,000905.SH,sell,5277.1201200000005,0.0,171.9098901936333,1146366.0123959659,0.0,1146366.0123959659,0.0
2025-06-17,000905.SH,buy,5775.1861499999995,1.0,198.4390071537773,0.0,1145449.4809937489,1145449.4809937489,1.0
